studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,1,"Die Studierenden beschreiben mathematische und logische Probleme mit eigenen Worten, die in natürlicher Sprache formuliert sind (z.B. Zahlenfolgen und -reihen, Sortieren, Game of Life, Türme von Hanoi).",K,2,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,2,Die Studierenden beschreiben diese Probleme anhand algorithmischer Teilschritte und entwickeln unter Anwendung der ihnen bekannten Programmkonstrukte programmiersprachliche Lösungen.,K,6,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,3,"Die Studierenden formulieren diese Lösungen in Quellcode, der vorgegebenen Konventionen für guten Programmierstil entspricht.",K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,4,Die Studierenden treffen Einschätzungen zu Laufzeit und Speicherverwaltung dieser Programme .,K,5,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,5,"Die Studierenden kennen Strategien zu Fehlereingrenzung, -suche und -behebung und wenden diese an.",K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,1,Die Studierenden übersetzen selbstständig bestehenden Quellcode unter Windows und Linux,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,2,Die Studierenden benennen gängige Build-Systeme und Paketmanager,K,1,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,3,Die Studierenden identifizieren Abhängigkeiten zwischen Bibliotheken und lösen sie auf,K,4,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,4,Die Studierenden bedienen PCs von der Kommandozeile aus,K,3,0.90,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,5,Die Studierenden editieren Konfigurationsdateien mit Text-Editoren,K,3,0.90,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,6,Die Studierenden starten und installieren selbst übersetzten Code aus bestehenden Software-Repositories,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,1,Die Studierenden nennen die wichtigsten Grundbegriffe der Mensch-Computer-Interaktion (MCI) und erklären ihre Bedeutung.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,2,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,3,Die Studierenden interpretieren das Grundmodell menschlicher Informationsverarbeitung und stellen einfache Ableitungen für das Handeln her.,K,2,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,4,Die Studierenden erklären die Bedeutung der menschzentrierten Gestaltung von technischen Systemen sowie Beispiele für gute und schlechte Umsetzungen.,K,2,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,5,Die Studierenden nennen die Grundlagen und Konzepte des menschzentrierten Entwurfs interaktiver Systeme und wenden sie auf einfache Aufgabenstellungen an.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,6,Die Studierenden benennen traditionelle Interaktionen und zeigen aktuelle Entwicklungen hinsichtlich des Interaktionsdesigns auf.,K,2,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,7,Die Studierenden nennen die grundlegenden Richtlinien für die MCI und integrieren diese in ihre Überlegungen beim Entwurf von interaktiven Systemen.,K,3,0.80,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,8,"Die Studierenden entwickeln Prototypen zur MCI mit verschiedenen Techniken (z.B. PenAndPaper), evaluieren nach etablierten Methoden, analysieren die Ergebnisse und präsentieren diese.",K,6,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,9,Die Studierenden entwickeln ein Bewusstsein für die Rolle des Fachgebiets MCI .,K,2,0.70,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,1,Die Studierenden erklären die Grundbegriffe der linearen Algebra.,K,2,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,2,Die Studierenden erkennen verschiedene algebraische Strukturen.,K,4,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften algebraischer Strukturen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,4,Die Studierenden treffen Aussagen über die Lösbarkeit linearer Gleichungssysteme und bestimmen deren Lösungsmenge.,K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,5,Die Studierenden führen Vektor- und Matrizenoperationen durch.,K,3,0.95,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,6,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Linearen Algebra nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",K,4,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,7,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Linearen Algebra.,K,3,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,1,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",K,4,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,2,Die Studierenden wenden Versionskontrollsysteme an und erklären die technischen Grundlagen dieser Systeme.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,3,Die Studierenden kennen erweiterte Konzepte der Arbeit mit Kommandozeilen und können sie für fortgeschrittene Aufgaben (z.B. Suchen in Dateien und Verzeichnissen mit regulären Ausdrücken) benutzen.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,4,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,1,Die Studierenden benennen und erläutern grundlegende Prinzipien der Rechnerkommunikation und der relevanten Netztechnologien sowie des allgemeinen Konzepts des Internets und der Protokollfamilie TCP/IP.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,2,"Die Studierenden benennen essentielle Netzdienste und –protokolle, erklären deren Funktionsweise und Standards und wenden diese korrekt an.",K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,3,Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.,K,5,0.90,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,4,"Die Studierenden arbeiten in Teams im Netzwerk-Labor an explorativen Lernumgebungen und Experimenten zur Sicherheit, Leistungsfähigkeit und Fehlertoleranz von Netzen und darin verwendeten Protokollen und Anwendungen.",K,3,0.70,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,5,"Die Studierenden verfolgen die Weiterentwicklung des Internets sowie zugehöriger Anwendungen und Dienste, schätzen diese ein und kennen damit verbundene Risiken und Möglichkeiten.",K,5,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,1,Die Studierenden benennen mindestens drei Merkmale objektorientierter Programmierung (OOP).,K,1,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,K,2,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,3,"Die Studierenden benutzen fachgerecht die behandelten OOP-Konzepte in der Programmierung, erkennen diese in gegebenen Quellcode und können darin fehlerhafte Anwendungen analysieren und benennen.",K,4,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,4,"Die Studierenden analysieren gegebene Problemstellungen der Informatik auf algorithmisch relevante Bestandteile, leiten daraus algorithmische Lösungen ab und setzen diese als objektorientierte Programme um.",K,4,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,5,Die Studierenden erklären die Funktionsweise Ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,K,5,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,6,Die Studierenden verwenden fachgerecht moderne Werkzeuge zur Unterstützung der Programmanalyse und -entwicklung in der Einzel- und Zusammenarbeit.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,7,"Die Studierenden erstellen ggf. in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit (optional) selbst.",K,6,0.70,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,1,Die Studierenden definieren und unterscheiden Fachbegriffe des SE für die Gestaltung komplexer Softwaresysteme und entsprechender Vorgehensweisen.,K,2,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,2,"Die Studierenden benutzen fachgerecht die behandelten SE-Konzepte (z.B. in der Anforderungsanalyse, dem Design oder der Qualitätssicherung), erkennen diese in gegebenen Beispielen und können darin fehlerhafte Anwendungen analysieren und benennen.",K,4,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,3,"Die Studierenden analysieren gegebene Problemstellungen der Softwareerstellung auf relevante Bestandteile, leiten daraus Lösungen für eine adäquate System/Softwareentwicklung ab und verwenden die relevanten Methoden.",K,4,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,4,Die Studierenden entwickeln Modelle und beurteilen die Modellierung von Softwaresysteme z.B. mit UML.,K,5,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,5,Die Studierenden erklären die Funktionsweise ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,K,5,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,1,Die Studierenden beschreiben die grundlegenden Konzepte und Techniken des Webs.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,2,Die Studierenden benennen die aktuell geltenden Web-Standards.,K,1,0.95,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,3,"Die Studierenden wenden grundlegende Methoden, Techniken und Werkzeuge der Webgestaltung zur Webseitenerstellung an Beispielaufgaben an.",K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,4,Die Studierenden erklären das wesentliche Grundprinzip der Trennung von inhaltlicher Struktur und visueller Gestaltung.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,5,"Die Studierenden erstellen fachgerecht interaktive, dynamische Webanwendungen und multimediale Webseiten.",K,6,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,6,Die Studierenden setzen Web-Frameworks und -Bibliotheken zur Realisierung interaktiver Web-Anwendungen passend ein.,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,7,Die Studierenden erklären und implementieren wesentliche Techniken der client- und serverseitigen Programmierung für synchrone als auch asynchrone Client-Server-Kommunikation.,K,3,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,8,Die Studierenden beschreiben wichtige Klassen von Web-Anwendungssystemen.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,9,Die Studierenden kommunizieren und koordinieren in kleinen Lerngruppen die Anwendung praxisrelevanter Werkzeuge anhand von Beispielaufgaben.,K,3,0.75,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,1,Die Studierenden benennen typische Operationen auf Standarddatenstrukturen und können diese in Programmen anwenden.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,2,Die Studierenden messen das Laufzeitverhalten von Algorithmen und schätzen es ein.,K,5,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,3,Die Studierenden erweitern Standardimplementierungen von Algorithmen und passen sie auf neue Anwendungen an.,K,3,0.75,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,4,Die Studierenden wählen abhängig vom Einsatzszenario geeignete Standarddatenstrukturen und Algorithmen zur Problemlösung aus und setzen sie ein.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,5,"Die Studierenden erstellen in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.65,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,K,6,0.60,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,1,Charakteristiken von verschiedenen Datei- und Datenbanksystemen können erklärt werden,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,2,Erkennen und einordnen von Datenbanken als Grundlage betrieblicher Informationssysteme,K,4,0.75,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,3,Beschreiben und darstellen der Grundlagen von Transaktionen,K,2,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,4,Datenmodelle in einfachen und fortgeschrittenen Szenarien entwickeln,K,6,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,5,Entwerfen komplexerer ER- und EER-Modelle und Schemata,K,6,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,6,Erlernen und anwenden von Relationenalgebra (vor allem in Hinblick auf SQL),K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,7,Anwenden von SQL,K,3,0.90,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,8,"Generieren/entwickeln von Datenintegrität, insbesondere in Datenbanken",K,6,0.65,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,9,Führen Normalisierungen von Datenmodellen durch,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,10,Können physischer Datenorganisation beschreiben und erläutern,K,2,0.80,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,11,Demonstrieren grundlegendes Verstehen der Umsetzung/des Anlegens von Indices,K,2,0.75,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,12,"Darstellen des Zusammenhangs von Datenbanken & Performanz, fundamentale Umsetzung von Tuning Optional:",K,2,0.70,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,13,Anwenden Object-Relational-Mapping (ORM) Frameworks,K,3,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,14,Formulieren grundlegender prozeduraler SQL (Stored Programs),K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,1,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,K,1,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,2,Die Studierenden definieren und unterscheiden Fachbegriffe der IT-Sicherheit.,K,4,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,3,"Die Studierenden analysieren gegebene Problemstellungen auf Anfälligkeit gegenüber Angriffen, bewerten die Relevanz der Absicherung gegenüber den Angriffen und können passende Sicherheitsmechanismen benennen.",K,5,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,4,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",K,3,0.80,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,5,"Die Studierenden benennen Protokolle im Bereich der IT-Sicherheit, erklären, wieso die Sicherheitsziele der Protokolle erreicht werden und können passende Protokolle zu gegebenen Problemstellungen auswählen.",K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,6,"Die Studierenden benennen Angriffe und Gegenmaßnahmen im Bereich der Netzwerksicherheit, Betriebssystemsicherheit und Softwaresicherheit und können die Gegenmaßnahmen passend zu einer Problemstellung anwenden.",K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,1,Die Studierenden führen Gespräche zur Angewandten Informatik fachgerecht.,K,3,0.70,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,2,Die Studierenden wenden die entsprechenden Methoden und Techniken der Kommunikation an.,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,3,Die Studierenden beherrschen das Erstellen der visuellen Hilfsmittel.,K,3,0.70,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,4,Die Studierenden nutzen multimediale Hilfsmittel bei Präsentationen.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,5,Die Studierenden setzen rhetorische Hilfsmittel ein.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,6,Die Studierenden beherrschen die Zielplanung einer Präsentation .,K,3,0.65,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,7,Die Studierenden erklären die Grundprinzipien wissenschaftlichen Arbeitens und wenden diese auf kleine Arbeiten an.,K,3,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,8,Die Studierenden erläutern die Einsatzzwecke für ausgewählte digitale Werkzeuge für das wissenschaftliche Arbeiten und wenden diese im Rahmen kleinerer Arbeiten an.,K,3,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,1,Die Studierenden listen die Grundelemente eines Betriebssystems sowie die verschiedenen Betriebssystem-architekturen auf.,K,1,0.95,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,2,"Die Studierenden erklären, wie das Betriebssystem bestimmte Aufgaben abwickelt (z.B. Prozess-, Hauptspeicher- und Dateiverwaltung).",K,2,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,3,Die Studierenden beurteilen unterschiedliche Betriebssysteme.,K,5,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,4,Die Studierenden wählen für eine vorgegebene Aufgabe ein passendes Betriebssystem aus.,K,5,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,5,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen (z.B. Synchronisation von Prozessen).,K,6,0.75,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,1,Die Studierenden erklären den Unterschied zwischen und die praktische Bedeutung von Determinismus und Nichtdeterminismus.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,2,Die Studierenden erklären den Unterschied zwischen Mehrdeutigkeit einer kontext-freien Grammatik und (inhärenter) Mehrdeutigkeit einer kontext-freien Sprache.,K,2,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,3,"Die Studierenden beschreiben die Chomsky-Hierarchie, erklären die Bedeutung der einzelnen Stufen und ordnen ihnen Automatenmodelle sowie Arten von Grammatiken korrekt zu.",K,3,0.80,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,4,Die Studierenden nennen Beispiele für Sprachen der einzelnen Stufen der Chomsky-Hierarchie.,K,1,0.95,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,5,Die Studierenden formalisieren konkrete Automaten bzw. Grammatiken als Instanz der jeweiligen Definition.,K,3,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,6,Die Studierenden wenden die verschiedenen Arten zur Definition einer formalen Sprache korrekt an (u.a. induktiv).,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,7,Die Studierenden entwickeln Grammatiken bzw. Automaten für eine gegebene Sprache.,K,6,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,8,Die Studierenden entwickeln reguläre Ausdrücke für eine gegebene Problemstellung.,K,6,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,9,"Die Studierenden zeigen, dass ein Wort akzeptiert bzw. generiert wird.",K,3,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,10,Die Studierenden erstellen Syntaxbäume (basierend auf einfachen kontext-freien Grammtiken oder EBNF).,K,3,0.80,train
