studiengang,modul_id,modulname,satz_nr,satz,llm_typ,llm_taxonomie,llm_konfidenz,typ,taxonomie,kommentar
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,K,6,0.60,K,6,
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,2,Erkennen und einordnen von Datenbanken als Grundlage betrieblicher Informationssysteme,K,4,0.75,K,4,
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,8,"Generieren/entwickeln von Datenintegrität, insbesondere in Datenbanken",K,6,0.65,K,6,
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,11,Demonstrieren grundlegendes Verstehen der Umsetzung/des Anlegens von Indices,K,2,0.75,K,2,
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,6,Die Studierenden beherrschen die Zielplanung einer Präsentation .,K,3,0.65,K,3,
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,5,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen (z.B. Synchronisation von Prozessen).,K,6,0.75,K,6,
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,9,"Die Studierenden zeigen, dass ein Wort akzeptiert bzw. generiert wird.",K,3,0.75,K,3,
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,2,"Das Ziel des verteilten Systems (VS) ist es diese Systeme zu integrieren, um das Erscheinungsbild eines einzigen, kohärenten Systems zu präsentieren.",S,,0.95,S,,
Angewandte Informatik (B.Sc.),AI1021,Bachelor-Projekt Angewandte Informatik,2,Die Studierenden vertiefen ihre Fachkenntnis in Spezialisierungen der Informatik.,K,2,0.50,K,2,
Angewandte Informatik (B.Sc.),AI1021,Bachelor-Projekt Angewandte Informatik,3,"Die Studierenden organisieren selbständig das Arbeiten im Team in Form des Projekts (vgl. Arbeitsplan, Ziele, Backlog, Verantwortlichkeiten, Abläufe etc.).",K,6,0.60,K,6,
Angewandte Informatik (B.Sc.),AI1021,Bachelor-Projekt Angewandte Informatik,6,Die Studierenden erstellen für den Projektabschluss eine Ausarbeitung unter Verwendung wissenschaftlich-methodischer Arbeitstechniken.,K,6,0.60,K,6,
Angewandte Informatik (B.Sc.),AI1416,Abschlussmodul Bachelor Angewandte Informatik,2,"Die Studierenden stellen die gewonnenen Ergebnisse verständlich und folgerichtig nach wissenschaftlichen Qualitätsmerkmalen in einer Hausarbeit (Abschlussarbeit) dar,",K,6,0.60,K,6,
Angewandte Informatik (B.Sc.),AI1652,Abschlussmodul-dual Bachelor Angewandte Informatik,2,"Die Studierenden stellen die gewonnenen Ergebnisse verständlich und folgerichtig nach wissenschaftlichen Qualitätsmerkmalen in einer Hausarbeit (Abschlussarbeit) dar,",K,6,0.60,K,6,
Angewandte Informatik (B.Sc.),AI1034,Cloud Services,6,Die Studierenden bringen sich aktiv in die Teamarbeit ein und gehen mit auftretenden Herausforderungen konstruktiv um.,K,3,0.60,K,3,
Angewandte Informatik (B.Sc.),AI1043,Data Mining,1,"Data Mining ist die Gewinnung impliziter, unbekannter und potenziell nützlicher Informationen aus Daten mittels (mathematischer) Methoden.",I,,0.95,I,,
Angewandte Informatik (B.Sc.),AI1043,Data Mining,5,"Die Studierenden tauschen sich mit Fachvertreten und mit Laien über Ideen, Probleme und Lösungen aus.",K,2,0.60,K,2,
Angewandte Informatik (B.Sc.),AI1031,Datenbanktechnologien,9,"Die Studierenden erstellen in Gruppen Lösungen zu Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.75,K,6,
Angewandte Informatik (B.Sc.),AI1048,Digitale Bildverarbeitung,6,Die Studierenden argumentieren mit richtiger Anwendung der Fachterminologie.,K,3,0.75,K,3,
Angewandte Informatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,1,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben.",K,4,0.75,K,4,
Angewandte Informatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,4,Beteiligen sich aktiv an aktuellen wirtschaftspolitischen Debatten.,K,3,0.60,K,3,
Angewandte Informatik (B.Sc.),AI1033,Multimedia-Kommunikation,7,Die Studierenden bringen sich aktiv in die Teamarbeit mit Multimedia-Kommunikationssystemen im Labor ein.,K,3,0.60,K,3,
Angewandte Informatik (B.Sc.),AI1046,Visualisierung,1,"Die Studierenden lernen Theorie und Praxis, Regeln und Werkzeuge für die Umsetzung von Informationen und Daten in eine visuelle Darstellung (visuelle Kommunikation) kennen.",K,1,0.75,K,3,
Angewandte Informatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,7,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,K,3,0.75,K,3,
Angewandte Informatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,8,Die Studierenden sind in der Lage die Möglichkeiten der Steuerung von externen Anwendungen/ Auslagerungen von Funktionen in externen Anwendungen – speziell via Webtechnologien - einschätzen und für einfache Fälle auch implementieren.,K,5,0.75,K,5,
Angewandte Informatik (M.Sc.),AI5017,Masterseminar,1,Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur.,K,3,0.75,K,3,
Angewandte Informatik (M.Sc.),AI5017,Masterseminar,3,Die Studierenden tragen aktiv an Diskussionen zu einem wissenschaftlichen Vortrag bei.,K,3,0.75,K,3,
Angewandte Informatik (M.Sc.),AI5016,Research Project,3,Die Studierenden definieren selbständig ihr Forschungsprojekt.,K,6,0.75,K,6,
Angewandte Informatik (M.Sc.),AI5168,Mathematische Methoden für die Informatik,6,Die Studierenden lösen Aufgaben und erklären ihre eigenen Lösungswege.,K,3,0.75,K,3,
Angewandte Informatik (M.Sc.),AI5022,Advanced Computer Networks,7,Die Studierenden kennen fortgeschrittene Werkzeuge für die Analyse der Netz-Performance sowie -Simulation und Emulation und bilden damit Fragestellungen aus aktuellen Papern und Forschungsansätzen im Team fachgerecht nach.,K,6,0.60,K,6,
Angewandte Informatik (M.Sc.),AI5022,Advanced Computer Networks,9,Die Studierenden wirken aktiv an der angewandten Forschung im Bereich der Computernetzwerke mit.,K,6,0.60,K,6,
Angewandte Informatik (M.Sc.),AI5049,Network Management and Monitoring,4,Die Studierenden kombinieren die Analyse mit Ansätzen im Machine Learning z.B. für ein Forecasting oder adaptives Traffic Management.,K,3,0.75,K,3,
Angewandte Informatik (M.Sc.),AI5036,Building Web and Mobile Apps,4,Die Studierenden dokumentieren den Entwicklungsprozess inklusive Reflexion anhand vorgegebener Rahmenbedingungen sachlich und unter Nutzung von Quellennachweisen.,K,2,0.75,K,2,
Angewandte Informatik (M.Sc.),AI5026,Computer Graphics,5,Die Studierenden setzen sich mit englischsprachiger Originalliteratur auseinander und schulen ihre Englisch- und Lesekompetenz gleichermaßen.,K,3,0.60,K,3,
Angewandte Informatik (M.Sc.),AI5085,Parallel Programming,2,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen.,K,6,0.60,K,3,
Angewandte Informatik (M.Sc.),AI5086,Test Oriented Development,5,"Die Studierenden erstellen in Gruppen Lösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.60,K,6,
Angewandte Informatik (M.Sc.),AI5037,Agentenbasierte Modellierung und Simulation,3,"Dies umfasst die Replikation bestehender Modelle als auch die Erstellung, Validierung und Verifikation neuer Modelle.",I,,0.75,I,,
Angewandte Informatik (M.Sc.),AI5038,Advanced Multimedia Communications,5,Die Studierenden präsentieren und dokumentieren die eigenständig entwickelten Echtzeit-Kommunikationsdienste und diskutieren deren Bezug zum aktuellen Stand von Forschung und Technik.,K,2,0.75,K,2,
Angewandte Informatik (M.Sc.),AI5104,Angewandte Designtheorie,2,"Ein Schwerpunkt sind Ansätze, die sich interdisziplinär auf Design, mit Bezug zu informationstechnischen Fragestellungen, beziehen.",I,,0.90,I,,
Angewandte Informatik (M.Sc.),AI5170,Data Visualization,1,Die Studierenden erstellen Visualisierungen vorhandener Daten auf verständliche Weise anhand gegebener Kriterien unter Berücksichtigung der Wahrnehmungstheorien.,K,6,0.75,K,6,
Angewandte Informatik (M.Sc.),AI5121,Datenanalyse in Businessanwendungen,4,Dies beinhaltet auch ein Verständnis der zugrundeliegenden Algorithmen sowie der Auswirkung der verschiedenen Parametrisierungen des Modells – insbesondere im Fall einer Supply-Netz sowie Transportoptimierung.,I,,0.85,I,,
Angewandte Informatik (M.Sc.),AI5121,Datenanalyse in Businessanwendungen,5,Die Studierenden leiten spezielle Fragestellungen des SCM/CRM in diesem Zusammenhang durch Literaturrecherchen neuerer Forschungsbeiträge her.,K,4,0.75,K,4,
Angewandte Informatik (M.Sc.),AI5158,Process Mining,5,Die Studierenden unterscheiden verschiedene Prozess-Mining Algorithmen und beschreiben deren Unterschiede - insbesondere auch auf deren Fähigkeit/ Einschränkungen die Prozessmodelle zu erzeugen,K,4,0.90,K,4,
Angewandte Informatik (M.Sc.),AI5028,Virtual Reality and Augmented Reality,4,Die Studierenden erwerben Präsentationskompetenzen im Rahmen kleiner Vorträge.,K,3,0.60,K,2,
Angewandte Informatik (M.Sc.),AI5028,Virtual Reality and Augmented Reality,5,Die Studierenden schulen durch die intensive Auseinandersetzung mit englischsprachiger Originalliteratur ihre Englisch- und Lesekompetenz gleichermaßen.,K,3,0.60,K,3,
Angewandte Informatik (M.Sc.),AI5028,Virtual Reality and Augmented Reality,6,Die Studierenden verbessern in der Projektphase in Teams ihre allgemeine Teamfähigkeit und Sozialkompetenz.,K,3,0.50,K,3,
Data Science (M.Sc.),AI5120,Data Mining and Predictive Analytics,6,Die Studierenden erarbeiten eigenständig neue Methoden und wenden diese an.,K,3,0.75,K,6,
Data Science (M.Sc.),AI5017,Masterseminar,1,Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur.,K,4,0.75,K,4,
Data Science (M.Sc.),AI5180,Intercultural Study of Data Science,1,"Die Studierenden vertiefen ihr Wissen in Informatik und lernen, wie diese Disziplin in anderen Kulturen gelehrt und verstanden wird.",K,2,0.75,K,2,
Data Science (M.Sc.),AI4002,Additional Courses for Data Science,1,"Die Studierenden erweitern und vertiefen ihre studienbezogenen Kenntnisse durch Belegung von Modu- len aus den Studiengängen des Fachbereichs Angewandte Informatik im Hinblick auf den angestrebten Abschluss, siehe § 5 Abs. 2a.",K,2,0.50,K,2,
Data Science (M.Sc.),AI5181,Current Topic of Data Science,2,"Die Studierenden vergleichen und bewerten aktuelle wissenschaftliche Veröffentlichungen beziehungsweise Entwicklungen in der Industrie im Bezug zur fokussierten Problemstellung,",K,5,0.90,K,5,
Data Science (M.Sc.),AI5037,Agentenbasierte Modellierung und Simulation,1,Die Studierenden haben einen Einblick in das Themenfeld der agentenbasierten Modellbildung und Simulation.,K,1,0.60,K,1,
Data Science (M.Sc.),AI5037,Agentenbasierte Modellierung und Simulation,5,Dies schließt insbesondere die Auswahl und die Bewertung geeigneter Literatur sowie die schriftliche Zusammenfassung und Präsentation der Ergebnisse mit ein.,I,,0.65,I,,
Data Science (M.Sc.),AI5174,Stream Processing and Analytics,14,Die Studierenden wirken aktiv an der angewandten Forschung in diesem Bereich mit.,K,3,0.75,K,3,
Digitale Medien (B.Sc.),AI1145,Einführung in die Betriebswirtschaftslehre,1,"Die Studierenden kennen wesentliche Grundtatbestände der Betriebswirtschaftslehre und sind fähig, sich in der betrieblichen Wirklichkeit, die weitgehend vom betriebswirtschaftlichen Rationalitätspostulat bestimmt ist, zurechtzufinden und produktiv einzubringen.",K,3,0.75,K,3,
Digitale Medien (B.Sc.),AI1430,Gestaltungsgrundlagen,1,Die Studierenden erwerben grundlegende Kompetenzen der audiovisuellen Mediengestaltung.,K,3,0.65,K,3,
Digitale Medien (B.Sc.),AI1430,Gestaltungsgrundlagen,3,"Gestalterische Problemstellungen werden erkannt, einfache Konzepte werden erarbeitet und umgesetzt.",K,3,0.75,,,
Digitale Medien (B.Sc.),AI1433,Grundlagen der Informatik,1,"Die Studierenden erlangen grundlegende Kenntnisse der Informatik, die für das Verständnis und die Beurteilung von Aufgabenstellungen in der IT erforderlich sind.",K,5,0.65,,,
Digitale Medien (B.Sc.),AI1067,Webdesign,1,Die Studierenden erwerben erweiterte Grundkenntnisse über den Designprozess von multimedialen Webseiten.,K,1,0.60,,,
Digitale Medien (B.Sc.),AI1067,Webdesign,6,Sie erhalten Anleitung für die Anfertigung der schriftlichen Hausarbeit und lernen einen längeren wissenschaftlichen Text zu strukturieren und inhaltlich formal korrekt auszuführen.,K,6,0.60,,,
Digitale Medien (B.Sc.),AI1440,Medientechnik,1,"Die Studierenden erwerben grundlegende technische und gestalterische Kenntnisse, die für die professionelle Produktion audiovisueller Inhalte nötig sind.",K,1,0.60,,,
Digitale Medien (B.Sc.),AI1093,Webprogrammierung,2,"Die Studierenden erwerben Fähigkeiten zur Realisierung interaktiver, dynamischer Webanwendungen",K,6,0.50,,,
Digitale Medien (B.Sc.),AI1093,Webprogrammierung,5,Die Studierenden lernen den Einsatz von Frameworks der Webprogrammierung zur Realisierung interaktiver Web-,K,3,0.60,,,
Digitale Medien (B.Sc.),AI1093,Webprogrammierung,7,Die Studierenden gewinnen einen Überblick über die aktuellen Techniken der Webprogrammierung und der Web-,K,2,0.60,,,
Digitale Medien (B.Sc.),AI1012,Algorithmen und Datenstrukturen,5,"Die Studierenden erstellen in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.60,,,
Digitale Medien (B.Sc.),AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,K,6,0.50,,,
Digitale Medien (B.Sc.),AI1420,Analysis,3,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,6,0.60,,,
Digitale Medien (B.Sc.),AI1522,3D-Modellierung und Animation,5,Die Studierenden erstellen ein einfaches Storyboard oder bilden in 3D aus einem vorgegebenen Storyboard zeichnerisch umgesetzte Szenen nach.,K,6,0.60,,,
Digitale Medien (B.Sc.),AI1047,Mensch-Computer-Interaktion,9,Die Studierenden entwickeln ein Bewusstsein für die Rolle des Fachgebiets MCI .,K,2,0.60,,,
Digitale Medien (B.Sc.),AI1274,Management und Marketing,1,Management: Die Studierenden verfügen über Kompetenzen im Bereich Unternehmens- und Personalführung sowie Organisation.,K,1,0.60,,,
Digitale Medien (B.Sc.),AI1422,Begreifbare Schnittstellen,1,"Die Studierenden erwerben erweiterte Grundkenntnisse in der Gestaltung, Realisierung und Implementierung von Systemen mit begreifbaren Schnittstellen.",K,3,0.65,,,
Digitale Medien (B.Sc.),AI1422,Begreifbare Schnittstellen,2,"Systeme mit begreifbaren Schnittstellen nutzen physische Objekte, welche ein direkte Manipulation durch den Menschen erlauben, die im realen Raum existieren und so den Gesetzen der Mechanik gehorchen, wobei die Effekte der Manipulation in der digitalen Welt Parameter verändern, welche schließlich in (potentiell) mehreren Modalitäten an den Anwender zurückgemeldet werden.",I,,0.90,,,
Digitale Medien (B.Sc.),AI1422,Begreifbare Schnittstellen,5,Die so gesteuerten Systeme reagieren in Echtzeit und liefern dann visuelles und/oder akustisches Feedback.,I,,0.80,,,
Digitale Medien (B.Sc.),AI1422,Begreifbare Schnittstellen,7,"Sie erhalten Anleitung in der systematischen Planung, Erfassung und Dokumentation des von Ihnen geleisteten Arbeitsprozesses.",K,3,0.60,,,
Digitale Medien (B.Sc.),AI1098,Digitale Fotografie,3,Die Teilnehmenden erwerben Kompetenzen im Umgang mit Beleuchtungstechnik und deren gestalterischen Einsatzmöglichkeiten.,K,3,0.60,,,
Digitale Medien (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,5,Die Studierenden sind mit den Vor- und Nachteilen einer solchen Automatisierung vertraut und können diese nennen und mit Hilfe von Modellen darstellen & implementieren.,K,3,0.75,,,
Digitale Medien (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,7,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,K,3,0.75,,,
Digitale Medien (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,8,Die Studierenden sind in der Lage die Möglichkeiten der Steuerung von externen Anwendungen/ Auslagerungen von Funktionen in externen Anwendungen – speziell via Webtechnologien - einschätzen und für einfache Fälle auch implementieren.,K,5,0.75,,,
Digitale Medien (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,3,Die Studierenden beherrschen dem Umgang mit der jeweiligen Programmierumgebung (IDE).,K,3,0.75,,,
Digitale Medien (B.Sc.),AI1279,Graphisch-Interaktive Systeme,3,Daneben gewinnen sie erste Erfahrungen mit Graphikschnittstellen.,K,1,0.60,,,
Digitale Medien (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,4,Beteiligen sich aktiv an aktuellen wirtschaftspolitischen Debatten.,K,3,0.60,,,
Digitale Medien (B.Sc.),AI1122,Logistik,1,"Die Studierenden kennen die wesentlichen Grundlagen einer modernen Logistikkonzeption und sind in der Lage, in der betrieblichen Praxis konkrete logistische Fragstellungen in Projekten zu bearbeiten.",K,3,0.75,,,
Digitale Medien (B.Sc.),AI1122,Logistik,2,"Besonderer Wert wird hierbei auch auf den interdisziplinären Charakter vieler Logistik-Projekte durch das Zusammenspiel von Logistikmitarbeitern, IT-Mitarbeitern, Ingenieuren, Controllern und auch externen Beteiligten wie Lieferanten, Kunden und Consultants gelegt.",S,,0.90,,,
Digitale Medien (B.Sc.),AI1316,Mediendidaktik und E-Learning,2,Ziel ist sowohl der Erwerb interdisziplinärer Kompetenzen aus den Gebieten der pädagogischen Psychologie und der Didaktik als auch die Einarbeitung in technische Standards im Umfeld heutiger E-Learning An- wendungen.,S,,0.75,,,
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,7,Die Studierenden bringen sich aktiv in die Teamarbeit mit Multimedia-Kommunikationssystemen im Labor ein.,K,3,0.75,,,
Digitale Medien (B.Sc.),AI1046,Visualisierung,1,"Die Studierenden lernen Theorie und Praxis, Regeln und Werkzeuge für die Umsetzung von Informationen und Daten in eine visuelle Darstellung (visuelle Kommunikation) kennen.",K,1,0.75,,,
Digitale Medien (B.Sc.),AI1046,Visualisierung,7,Die Studierenden wählen geeignete Werkzeuge für die Umsetzung und Visualisierung von Informationen und Daten aus und begründen ihre Auswahl.,K,5,0.80,,,
Digitale Medien (B.Sc.),AI1444,Visual Computing,1,Die Studierenden erhalten einen Überblick über die Kerngebiete des Visual Computings und lernen entsprechende Modelle und Methoden kennen.,K,1,0.75,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,8,qualitativ die chem.,S,,0.90,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,5,Im Team zu arbeiten,K,3,0.75,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1015,Elektronik,3,die Problematik der Anwendung vereinfachter Modelle auf reale Sachverhalte darzulegen,K,2,0.75,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,2,lernen das Denken in Wahrscheinlichkeiten und sind sich der zugrundeliegenden Annahmen und der Gefahr von Irrtümern bewusst,K,5,0.60,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1048,Aufbau elektronischer Schaltungen,8,die Bauteileauswahl nach Datenblatt,I,,0.60,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1048,Aufbau elektronischer Schaltungen,12,methodisches Arbeiten,I,,0.60,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1034,Berufspraktikum,7,Vorschläge für die Bearbeitung berufsrelevanter Arbeitsschritte zu erarbeiten und durchzuführen,K,6,0.60,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1052,Regelungstechnik 2,2,Steuer- und Beobachtbarkeit sowie Stabilität von Prozessen zu untersuchen,K,4,0.80,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1060,EDA (Schaltungen und Platinen),8,Fragestellungen in den Grundlagen zu nutzen,K,3,0.60,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1062,Praktikum: Mikrocontroller und Signalprozessoren,3,sich anhand der eingeübten Vorgehensweise in neue Prozessoren einzuarbeiten,K,3,0.75,,,
Elektrotechnik und Informationstechnik (B.Sc.),ET1041,Feldbusse,5,"Die Modulsprache ist teilweise Deutsch und Englisch, da Spezifikationen von Feldbussystemen häufig in Englischer Sprache verfasst werden.",S,,0.95,,,
Erneuerbare Energien (B.Sc.),ET1600,Technikprojekt,6,Grundverständnis für technische und physikalische Zusammenhänge,I,,0.75,,,
Erneuerbare Energien (B.Sc.),ET1600,Technikprojekt,8,die Erstellung einfacher mechanische Konstruktionen,K,6,0.65,,,
Erneuerbare Energien (B.Sc.),ET1600,Technikprojekt,13,methodisches Arbeiten,I,,0.65,,,
Erneuerbare Energien (B.Sc.),ET1052,Regelungstechnik 2,2,Steuer- und Beobachtbarkeit sowie Stabilität von Prozessen zu untersuchen,K,4,0.90,,,
Erneuerbare Energien (B.Sc.),ET1436,Fallstudie & Präsentation 2,3,ein Lasten- und Pflichtenheft zu erstellen,K,6,0.65,,,
Erneuerbare Energien (B.Sc.),ET1436,Fallstudie & Präsentation 2,4,effektiv zu kommunizieren und kooperativ in Teams zu arbeiten,K,3,0.75,,,
Erneuerbare Energien (B.Sc.),ET1504,Berufspraktikum,1,sich im Berufsfeld oder verwandten Gebieten der Erneuerbaren Energien zu orientieren,K,3,0.65,,,
Erneuerbare Energien (B.Sc.),ET1504,Berufspraktikum,4,"Perspektiven für das weitere Studium, die Abschlussarbeit (Bachelor-Thesis) und den weiteren Berufsweg abzuschätzen",K,5,0.75,,,
Erneuerbare Energien (B.Sc.),ET1504,Berufspraktikum,7,Vorschläge für die Bearbeitung berufsrelevanter Arbeitsschritte zu erarbeiten und durchzuführen,K,6,0.65,,,
Erneuerbare Energien (B.Sc.),ET1035,Abschlussmodul,1,"Die Teilnehmenden sollen durch die erworbenen Fähigkeiten und Methoden im Studium zeigen, dass sie innerhalb einer vorgegebenen Frist",S,,0.90,,,
Food Processing (M.Sc.),LT5008,Betriebswirtschaftliche Entscheidungsinstrumente,1," begreifen, dass unternehmerisches Handeln zielorientiert erfolgt.",K,2,0.75,,,
Food Processing (M.Sc.),LT5004,Biochemie und Molekularbiologie,2,"Sind in der Lage, wissenschaftliche Originalarbeiten in englischer Sprache zu bewerten.  können aus den erworbenen Kenntnissen weiterführende Forschungsfragestellungen ableiten sind in der Lage, die Aussagen von wissenschaftlichen Originalarbeiten im aktuellen Forschungskontext kritisch zu diskutieren.",K,5,0.75,,,
Global Software Development (M.Sc.),AI5029,Cloud Computing,9,Die Studierenden wirken aktiv an der angewandten Forschung im Bereich Cloud Computing mit.,K,3,0.65,,,
Global Software Development (M.Sc.),AI5084,Model-Driven Development,2,Dies schließt insbesondere die Entwicklung und Anpassung entsprechender Werkzeuge ein.,I,,0.75,,,
Global Software Development (M.Sc.),AI5084,Model-Driven Development,3,"Sie folgen dem historischen Paradigmenwechsel: von der Idee, dass alles ein Objekt ist hin zu der abstrakteren Idee, dass alles ein Modell ist.",K,2,0.75,,,
Global Software Development (M.Sc.),AI5036,Building Web and Mobile Apps,4,Die Studierenden dokumentieren den Entwicklungsprozess inklusive Reflexion anhand vorgegebener Rahmenbedingungen sachlich und unter Nutzung von Quellennachweisen.,K,2,0.75,,,
Global Software Development (M.Sc.),AI5109,Distributed Applications,2,Verteilte Webanwendungen.,S,,0.95,,,
Global Software Development (M.Sc.),AI5109,Distributed Applications,3,"Die Studierenden benennen grundlegende Anwendungsarchitekturen und analysieren die Anforderungen komplexer verteilter Systeme und die damit verbundene Rolle von Ansätzen wie z.B. Middleware, Microservices, SOA und EAI.",K,4,0.90,,,
Global Software Development (M.Sc.),AI5086,Test Oriented Development,5,"Die Studierenden erstellen in Gruppen Lösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.65,,,
Global Software Development (M.Sc.),AI5117,Master’s Thesis in Global Software Development,1,Die Masterarbeit ist eine schriftliche Prüfungsarbeit.,S,,0.95,,,
Global Software Development (M.Sc.),AI5117,Master’s Thesis in Global Software Development,4,Den Sinn ordentlichen wissenschaftlichen Arbeitens können sie analysieren und die Methoden auf eigene Arbeiten übertragen.,K,4,0.80,,,
