studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,4,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,1,Die Studierenden benennen und erläutern grundlegende Prinzipien der Rechnerkommunikation und der relevanten Netztechnologien sowie des allgemeinen Konzepts des Internets und der Protokollfamilie TCP/IP.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,2,"Die Studierenden benennen essentielle Netzdienste und –protokolle, erklären deren Funktionsweise und Standards und wenden diese korrekt an.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,3,Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,4,"Die Studierenden arbeiten in Teams im Netzwerk-Labor an explorativen Lernumgebungen und Experimenten zur Sicherheit, Leistungsfähigkeit und Fehlertoleranz von Netzen und darin verwendeten Protokollen und Anwendungen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,5,"Die Studierenden verfolgen die Weiterentwicklung des Internets sowie zugehöriger Anwendungen und Dienste, schätzen diese ein und kennen damit verbundene Risiken und Möglichkeiten.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,1,Die Studierenden benennen mindestens drei Merkmale objektorientierter Programmierung (OOP).,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,3,"Die Studierenden benutzen fachgerecht die behandelten OOP-Konzepte in der Programmierung, erkennen diese in gegebenen Quellcode und können darin fehlerhafte Anwendungen analysieren und benennen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,4,"Die Studierenden analysieren gegebene Problemstellungen der Informatik auf algorithmisch relevante Bestandteile, leiten daraus algorithmische Lösungen ab und setzen diese als objektorientierte Programme um.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,5,Die Studierenden erklären die Funktionsweise Ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,6,Die Studierenden verwenden fachgerecht moderne Werkzeuge zur Unterstützung der Programmanalyse und -entwicklung in der Einzel- und Zusammenarbeit.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,7,"Die Studierenden erstellen ggf. in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit (optional) selbst.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,1,Die Studierenden definieren und unterscheiden Fachbegriffe des SE für die Gestaltung komplexer Softwaresysteme und entsprechender Vorgehensweisen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,2,"Die Studierenden benutzen fachgerecht die behandelten SE-Konzepte (z.B. in der Anforderungsanalyse, dem Design oder der Qualitätssicherung), erkennen diese in gegebenen Beispielen und können darin fehlerhafte Anwendungen analysieren und benennen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,3,"Die Studierenden analysieren gegebene Problemstellungen der Softwareerstellung auf relevante Bestandteile, leiten daraus Lösungen für eine adäquate System/Softwareentwicklung ab und verwenden die relevanten Methoden.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,4,Die Studierenden entwickeln Modelle und beurteilen die Modellierung von Softwaresysteme z.B. mit UML.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1011,Software Engineering,5,Die Studierenden erklären die Funktionsweise ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,1,Die Studierenden beschreiben die grundlegenden Konzepte und Techniken des Webs.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,2,Die Studierenden benennen die aktuell geltenden Web-Standards.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,3,"Die Studierenden wenden grundlegende Methoden, Techniken und Werkzeuge der Webgestaltung zur Webseitenerstellung an Beispielaufgaben an.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,4,Die Studierenden erklären das wesentliche Grundprinzip der Trennung von inhaltlicher Struktur und visueller Gestaltung.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,5,"Die Studierenden erstellen fachgerecht interaktive, dynamische Webanwendungen und multimediale Webseiten.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,6,Die Studierenden setzen Web-Frameworks und -Bibliotheken zur Realisierung interaktiver Web-Anwendungen passend ein.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,7,Die Studierenden erklären und implementieren wesentliche Techniken der client- und serverseitigen Programmierung für synchrone als auch asynchrone Client-Server-Kommunikation.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,8,Die Studierenden beschreiben wichtige Klassen von Web-Anwendungssystemen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1009,Web-Applikationen,9,Die Studierenden kommunizieren und koordinieren in kleinen Lerngruppen die Anwendung praxisrelevanter Werkzeuge anhand von Beispielaufgaben.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,1,Die Studierenden benennen typische Operationen auf Standarddatenstrukturen und können diese in Programmen anwenden.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,2,Die Studierenden messen das Laufzeitverhalten von Algorithmen und schätzen es ein.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,3,Die Studierenden erweitern Standardimplementierungen von Algorithmen und passen sie auf neue Anwendungen an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,4,Die Studierenden wählen abhängig vom Einsatzszenario geeignete Standarddatenstrukturen und Algorithmen zur Problemlösung aus und setzen sie ein.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,5,"Die Studierenden erstellen in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,1,Charakteristiken von verschiedenen Datei- und Datenbanksystemen können erklärt werden,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,2,Erkennen und einordnen von Datenbanken als Grundlage betrieblicher Informationssysteme,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,3,Beschreiben und darstellen der Grundlagen von Transaktionen,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,4,Datenmodelle in einfachen und fortgeschrittenen Szenarien entwickeln,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,5,Entwerfen komplexerer ER- und EER-Modelle und Schemata,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,6,Erlernen und anwenden von Relationenalgebra (vor allem in Hinblick auf SQL),,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,7,Anwenden von SQL,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,8,"Generieren/entwickeln von Datenintegrität, insbesondere in Datenbanken",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,9,Führen Normalisierungen von Datenmodellen durch,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,10,Können physischer Datenorganisation beschreiben und erläutern,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,11,Demonstrieren grundlegendes Verstehen der Umsetzung/des Anlegens von Indices,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,12,"Darstellen des Zusammenhangs von Datenbanken & Performanz, fundamentale Umsetzung von Tuning Optional:",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,13,Anwenden Object-Relational-Mapping (ORM) Frameworks,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1014,Datenbanksysteme,14,Formulieren grundlegender prozeduraler SQL (Stored Programs),,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,1,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,2,Die Studierenden definieren und unterscheiden Fachbegriffe der IT-Sicherheit.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,3,"Die Studierenden analysieren gegebene Problemstellungen auf Anfälligkeit gegenüber Angriffen, bewerten die Relevanz der Absicherung gegenüber den Angriffen und können passende Sicherheitsmechanismen benennen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,4,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,5,"Die Studierenden benennen Protokolle im Bereich der IT-Sicherheit, erklären, wieso die Sicherheitsziele der Protokolle erreicht werden und können passende Protokolle zu gegebenen Problemstellungen auswählen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,6,"Die Studierenden benennen Angriffe und Gegenmaßnahmen im Bereich der Netzwerksicherheit, Betriebssystemsicherheit und Softwaresicherheit und können die Gegenmaßnahmen passend zu einer Problemstellung anwenden.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,1,Die Studierenden führen Gespräche zur Angewandten Informatik fachgerecht.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,2,Die Studierenden wenden die entsprechenden Methoden und Techniken der Kommunikation an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,3,Die Studierenden beherrschen das Erstellen der visuellen Hilfsmittel.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,4,Die Studierenden nutzen multimediale Hilfsmittel bei Präsentationen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,5,Die Studierenden setzen rhetorische Hilfsmittel ein.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,6,Die Studierenden beherrschen die Zielplanung einer Präsentation .,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,7,Die Studierenden erklären die Grundprinzipien wissenschaftlichen Arbeitens und wenden diese auf kleine Arbeiten an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1016,Wissenschaftliche Präsentation und Kommunikation,8,Die Studierenden erläutern die Einsatzzwecke für ausgewählte digitale Werkzeuge für das wissenschaftliche Arbeiten und wenden diese im Rahmen kleinerer Arbeiten an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,1,Die Studierenden listen die Grundelemente eines Betriebssystems sowie die verschiedenen Betriebssystem-architekturen auf.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,2,"Die Studierenden erklären, wie das Betriebssystem bestimmte Aufgaben abwickelt (z.B. Prozess-, Hauptspeicher- und Dateiverwaltung).",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,3,Die Studierenden beurteilen unterschiedliche Betriebssysteme.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,4,Die Studierenden wählen für eine vorgegebene Aufgabe ein passendes Betriebssystem aus.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1013,Betriebssysteme,5,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen (z.B. Synchronisation von Prozessen).,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,1,Die Studierenden erklären den Unterschied zwischen und die praktische Bedeutung von Determinismus und Nichtdeterminismus.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,2,Die Studierenden erklären den Unterschied zwischen Mehrdeutigkeit einer kontext-freien Grammatik und (inhärenter) Mehrdeutigkeit einer kontext-freien Sprache.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,3,"Die Studierenden beschreiben die Chomsky-Hierarchie, erklären die Bedeutung der einzelnen Stufen und ordnen ihnen Automatenmodelle sowie Arten von Grammatiken korrekt zu.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,4,Die Studierenden nennen Beispiele für Sprachen der einzelnen Stufen der Chomsky-Hierarchie.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,5,Die Studierenden formalisieren konkrete Automaten bzw. Grammatiken als Instanz der jeweiligen Definition.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,6,Die Studierenden wenden die verschiedenen Arten zur Definition einer formalen Sprache korrekt an (u.a. induktiv).,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,7,Die Studierenden entwickeln Grammatiken bzw. Automaten für eine gegebene Sprache.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,8,Die Studierenden entwickeln reguläre Ausdrücke für eine gegebene Problemstellung.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,9,"Die Studierenden zeigen, dass ein Wort akzeptiert bzw. generiert wird.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,10,Die Studierenden erstellen Syntaxbäume (basierend auf einfachen kontext-freien Grammtiken oder EBNF).,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,11,Die Studierenden überführen eine kontext-freie Grammatik in Greibach-Normalform.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,12,Die Studierenden nutzen einen Parsergenerator und spezifizieren dafür die zu parsende Sprache.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,13,Die Studierenden führen Beweise der (Un-) Vollständigkeit bzw. (fehlender) Korrektheit.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,14,Die Studierenden beweisen die Mehrdeutigkeit einer kontext-freien Grammatik.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,15,Die Studierenden erarbeiten sich selbständig eine bisher unbekannte Definition und nutzen diese zur Formalisierung.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1015,Verteilte Systeme,1,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1015,Verteilte Systeme,2,"Das Ziel des verteilten Systems (VS) ist es diese Systeme zu integrieren, um das Erscheinungsbild eines einzigen, kohärenten Systems zu präsentieren.",,,,
