nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
21,Hochschule Fulda,Cloud Computing,Die Studierenden beschreiben die Charakteristika des Cloud Computing und zugehöriger IT-Infrastruktur anhand von gegebenen Beispielen.,K,2,gut,
22,Hochschule Fulda,Parallel Programming,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen.,K,3;6,gut,
23,Hochschule Fulda,Advanced Big Data,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme zu illustrieren.,K,2,akzeptabel,
24,Hochschule Fulda,Angewandte Designtheorie,"Die Studierenden wenden die erworbenen Kenntnisse in der Gestaltung bzw. Programmierung einer eigenen kreativen Arbeit an.",K,3,gut,
25,Hochschule Fulda,Datenanalyse in Businessanwendungen,"Die Studierenden benennen konkrete Methoden der Datenanalyse sowie allgemein quantitative Methoden innerhalb von Business-Anwendungen; in erster Linie die analytischen Anteile von vertikal integrierten Business-Anwendungen, wie Supply-Chain-Management-Anwendungen sowie Customer-RelationshipAnwendungen.",K,1,gut,
26,Hochschule Fulda,Preparation and Analysis of Data,Dazu gehört die Auswahl und praktische Anwendung sinnvoller Methoden.,I,,schlecht,
27,Hochschule Fulda,Preparation and Analysis of Data,Dies schließt insbesondere die Auswahl und Bewertung geeigneter Literatur sowie die Präsentation der Ergebnisse mit ein.,I,,schlecht,
28,Hochschule Fulda,Process Mining,"Die Studierenden erläutern die wichtigsten Konzepte von Geschäftsprozessmodellen, soweit sie für die durch das Mining erzeugten Prozessmodelle relevant sind, speziell Petri-Netze und BPMN",K,2,gut,
29,Hochschule Fulda,Reconfigurable Computing,"Die Studierenden analysieren ein gegebenes Problem, um dieses in Hardware- und Software-Anteile zu zerlegen.",K,4,gut,
30,Hochschule Fulda,Semantische Umgebungsmodellierung,Die Studierenden beschreiben die Grundlagen zur semantischen Modellierung von 3D-Umgebungsdaten im Kontext der mobilen Robotik.,K,2,gut,
31,Hochschule Fulda,Semantische Umgebungsmodellierung,Die Studierenden schreiben einfache Anwendungen unter Verwendung der Programmiersprache Prolog.,K,3,gut,
32,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden unterscheiden zwischen Processing-time und Event-time und verarbeiten out-of-order und late-arriving Daten robust.,K,3;4,gut,
33,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden verarbeiten Streaming-Daten nach definierten Anforderungen unter Einsatz von den verschiedenen Typen von Streaming Joins.,K,3,gut,
34,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,K,2,gut,
35,Hochschule Fulda,Verarbeitung von 3D-Punktwolkendaten,"Die Studierenden schildern dazu die technischen Grundlagen gängiger 3D-Sensoren und die daraus resultierenden Effekte bzgl.,",K,2,akzeptabel,
36,Hochschule Fulda,Verarbeitung von 3D-Punktwolkendaten,"Die Studierenden verwalten große 3D-Punktwolken speicher- und laufzeiteffizient, registrieren diese in einem gemeinsamen Koordinatensystem und visualisieren diese.",K,3,gut,
37,Hochschule Fulda,Machine Learning,"Die Studierenden benennen die Herausforderungen, welche sich in der Praxis der Objekt-und Mustererkennung ergeben, erläutern die wichtigsten Lösungsansätze und wenden diese Ansätze zur Lösung gegebener Aufgabenstellungen an.",K,1;2;3,gut,
38,Hochschule Fulda,Big Data Technologies,BigData / noSQL Use Cases zu beurteilen und zu evaluieren.,K,5,akzeptabel,
39,Hochschule Fulda,Data Visualization,Die Studierenden wählen die passenden Visualisierungsformen auf Basis des Daten- und Informationsdesigns für gegebene Daten aus und begründen diese in eigenen Worten.,K,5,gut,
40,Hochschule Fulda,Additional Courses for Data Science,Die jeweiligen Qualifikationsziele ergeben sich aus den Modulbeschreibungen der belegten Module.,S,,schlecht,
41,Hochschule Fulda,Advanced Big Data,die grundlegenden Komponenten des erweiterten Hadoop Ecosystem hands-on zu unterscheiden und anzuwenden.,K,3;4,akzeptabel,
42,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden verarbeiten Daten Streams mithilfe gängiger Frameworks.,K,3,gut,
43,Hochschule Fulda,Gestaltungsgrundlagen,"Projektbasierte, praktische Erfahrungen im Umgang mit aktueller Gestaltungssoftware werden gesammelt.",I,,schlecht,
44,Hochschule Fulda,Lineare Algebra,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,2;3;6,akzeptabel,
45,Hochschule Fulda,Mensch-Computer-Interaktion,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,K,3,akzeptabel,
46,Hochschule Fulda,Animationsprogrammierung,"Die Studierenden fassen die grundlegende Funktionsweise prozeduraler Animationstechniken, insbesondere Partikelsysteme fachgerecht zusammen.",K,2,gut,
47,Hochschule Fulda,Begreifbare Schnittstellen,"Sie üben die Verwendung von Werkzeugen zur Systemerstellung und Modellierung, sind in der Lage, begreifbare Schnittstellen und zu steuerndes System zu integrieren, verstehen, wie Sensordaten übertragen und integriert werden können und sind in der Lage, eine einfaches System mit begreifbarer Schnittstelle zu konzipieren und zu programmieren.",K,2;3;6,akzeptabel,
48,Hochschule Fulda,Digitale Bildverarbeitung,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",K,3,akzeptabel,
49,Hochschule Fulda,Digitale Fotografie,"Sie sind in der Lage, mit verschiedenem Fotoequipment umzugehen und deren technischen Möglichkeiten zielorientiert einzusetzen.",K,3,gut,
50,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,K,2,gut,
51,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Die Studierenden verstehen das Konzept der Verteilung von Anwendungen und können die wesentlichen Punkte benennen sowie kleine Beispiele implementieren.",K,1;2;3,gut,
52,Hochschule Fulda,Mediendidaktik und E-Learning,Ziel ist sowohl der Erwerb interdisziplinärer Kompetenzen aus den Gebieten der pädagogischen Psychologie und der Didaktik als auch die Einarbeitung in technische Standards im Umfeld heutiger E-Learning An- wendungen.,S,,schlecht,
53,Hochschule Fulda,Mathematik 1,die grundlegenden Techniken und Methoden zur Lösung von Gleichungen und zur Untersuchung von Funktionen zu beherrschen,K,3,akzeptabel,
54,Hochschule Fulda,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,nichtlineare Netzwerke grundlegend zu beschreiben und zu berechnen,K,2;3,akzeptabel,
55,Hochschule Fulda,Technikprojekt,die typischen Aufgaben von Ingenieur*innen wiederzugeben,K,1,akzeptabel,
56,Hochschule Fulda,Xperience Lab 2,Messergebnisse zu bewerten und zu dokumentieren.,K,2;5,akzeptabel,
57,Hochschule Fulda,Aufbau elektronischer Schaltungen,eine einfache elektronische / leistungselektronische Schaltung praktisch zu realisieren,K,3,akzeptabel,
58,Hochschule Fulda,Aufbau elektronischer Schaltungen,methodisches Arbeiten,I,,schlecht,
59,Hochschule Fulda,Mechanische Konstruktion,"einfache Bauteile und Baugruppen mit Hilfe eines CAD-Programms systematisch zu entwickeln",K,6,akzeptabel,
60,Hochschule Fulda,Berufspraktikum,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",K,4;5,akzeptabel,
61,Hochschule Fulda,Regelungstechnik 2,nichtlineare Systeme um einen Arbeitspunkt zu linearisieren,K,3,akzeptabel,
62,Hochschule Fulda,Automatisierungstechnik 2,"Sie kennen Gerätetypen, Prozessschnittstellen und Diagnosesysteme mit denen das Prozessabbild zwischen Steuerungen und technischen Prozessen automatisiert werden können.",K,1,akzeptabel,
63,Hochschule Fulda,Praktikum: Eingebettete Systeme,"Software für eingebettete Systeme zu entwerfen, zu implementieren und in Betrieb zu nehmen",K,3;6,akzeptabel,
64,Hochschule Fulda,EDA (Schaltungen und Platinen),Sinn und Zweck von Normung und Zertifizierung wiederzugeben,K,1,akzeptabel,
65,Hochschule Fulda,EDA (Schaltungen und Platinen),komplexe Design-Werkzeuge für Schaltungs- und Platinenentwurf und Simulation zu o.g.,S,,schlecht,
66,Hochschule Fulda,Praktikum: Mikrocontroller und Signalprozessoren,Projekte mit Mikrocontrollern zu bearbeiten,K,3,akzeptabel,
67,Hochschule Fulda,Betriebssysteme für eingebettete Systeme,"Standards für und den Aufbau von Betriebssystemen für eingebettete Systeme wiederzugeben",K,1,akzeptabel,
68,Hochschule Fulda,Einführung in Frameworks autonomer mobiler Robotik,Austauschformate anhand von Datenblättern in ROS-Nachrichten zu implementieren,K,3,akzeptabel,
69,Hochschule Fulda,Feldbusse,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",K,1,gut,
70,Hochschule Fulda,Feldbusse,"Die Modulsprache ist teilweise Deutsch und Englisch, da Spezifikationen von Feldbussystemen häufig in Englischer Sprache verfasst werden.",S,,schlecht,
71,Hochschule Fulda,Mathematik 1,"die wichtigen Begriffe der Mathematik (z.B. Zahlenmengen, Funktionen, Folgen) und der analytischen Geometrie und linearen Algebra (z.B. Vektoren, Matrizen) zu verstehen",K,2,akzeptabel,
72,Hochschule Fulda,Technikprojekt,Verständnis einfacher elektrischer Schaltungen,I,,schlecht,
73,Hochschule Fulda,Mechanische Konstruktion,einen Überblick über grundlegende Fertigungsverfahren des Maschinenbaus zu geben,K,2,akzeptabel,
74,Hochschule Fulda,Mechanische Konstruktion,Methoden zur Lösung konstruktiver Probleme anzuwenden,K,3,akzeptabel,
75,Hochschule Fulda,Feldbusse,Das Modul integriert Fachkompetenzen der Digitaltechnik und der Informatik.,I,,schlecht,
76,Hochschule Fulda,Numerische Feldberechnung mit der Finite-Elemente-Methode,Einsatzbereiche und theoretische Grundlagen von Finite-Elemente-Analysen (FEA) widerzugeben,K,1,akzeptabel,
77,Hochschule Fulda,Mathematische Entscheidungselemente und Datenanalyse II," verstehen komplexe statistische Verfahren, Methoden und Tests.  bewerten deren Ergebnisse, können die Anwendbarkeit beurteilen und komplexe Methoden interpretieren.  wenden statistische Verfahren an, ermitteln eigene Ergebnisse aus aktuellen Forschungsarbeiten und sind in der Lage, diese kritisch zu bewerten.",K,2;3;5,akzeptabel,
78,Hochschule Fulda,Big Data Technologies,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme darzustellen und zu beschreiben.,K,2,akzeptabel,
79,Hochschule Fulda,Software Development Project,"Die Studierenden sind in der Lage, eine komplexe Software-Entwicklungsaufgabe im Team mit Mitteln des modernen Projektmanagements zu lösen.",K,3,gut,
80,Hochschule Fulda,Research Project,Die Studierenden leiten für eine gegebene Problemstellung wissenschaftlich nachvollziehbar Forschungsfragen oder Hypothesen ab.,K,4,gut,
81,Hochschule Fulda,Research Project,"Die Studierenden wählen begründet aus den etablierten Methoden eines Forschungsgebietes diejenigen , zur Erreichung der konkreten Forschungs(teil)ziele geeigneten Methoden, aus und wenden sie an.",K,3;5,gut,
82,Hochschule Fulda,Advanced Big Data,"darüberhinausgehende Anwendungen und Use Cases an einzelnen Beispielen genauer zu bearbeiten und architektonische Ansätze aus den Big Data Use Cases abzuleiten.",K,3;4,akzeptabel,
83,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,K,2,gut,
84,Hochschule Fulda,General Chemistry,"Die Studierenden sind in der Lage, Aufgaben aus diesen Bereichen selbstständig zu lösen.",K,3,gut,
85,Hochschule Fulda,Grundlagen Ingenieurwesen,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,K,2,akzeptabel,
86,Hochschule Fulda,Organische Chemie,"Die Studierenden können grundlegende organisch-chemische Reaktionen formulieren bzw. nachvollziehen und sind somit imstande auch biochemische bzw. lebensmittelchemische Prozesse zu verstehen.",K,2;3,gut,
87,Hochschule Fulda,Physikalische Chemie,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Wärmelehre.,K,1,akzeptabel,
88,Hochschule Fulda,Physikalische Chemie,Die Studierenden können grundlegende Berechnungen selber durchführen und umfangreichere nachvollziehen.,K,2;3,gut,
89,Hochschule Fulda,Fundamentals of Biology and Raw Materials (IBT),Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1,akzeptabel,
90,Hochschule Fulda,Zellbiologie/Zellkulturtechnik,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,akzeptabel,
91,Hochschule Fulda,Cell Biology / Cell Culture Technology,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,akzeptabel,
92,Hochschule Fulda,Measurement and Control Engineering,Die Studierenden kennen die grundlegenden Messtechniken der Elektrotechnik.,K,1,akzeptabel,
93,Hochschule Fulda,Grundlagen der Informatik,"Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.",K,1,akzeptabel,
94,Hochschule Fulda,Thermal Process Engineering,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei thermischen Verfahren.,K,2,akzeptabel,
95,Hochschule Fulda,Bioverfahrenstechnik,Die Studierenden verstehen das Vorgehen beim Hochskalieren von Bioreaktoren.,K,2,akzeptabel,
96,Hochschule Fulda,Biochemie,"Die Studierenden sind imstande, die Grundsätze wissenschaftlicher Literaturarbeit anzuwenden.",K,3,gut,
97,Hochschule Fulda,Biochemistry,"Die Studierenden sind in der Lage, Experimente nach statistischen Aspekten zu planen.",K,6,gut,
98,Hochschule Fulda,Qualitätsmanagement (IBT),"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",I,,schlecht,
99,Hochschule Fulda,Qualitätsmanagement (IBT),"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,2;5,akzeptabel,
100,Hochschule Fulda,Quality Management (IBT),"Sie werden befähigt, eine strukturierte Quellenrecherche zu betreiben.",K,3,akzeptabel,
101,Hochschule Fulda,Quality Management (IBT),"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",I,,schlecht,
102,Hochschule Fulda,Quality Management (IBT),"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,2;5,akzeptabel,
103,Hochschule Fulda,Praxisphase,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,akzeptabel,
104,Hochschule Fulda,Internship,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,akzeptabel,
105,Hochschule Fulda,Immunologie und spezifische Lebensmittelapplikationen,Die Studierenden kennen die unmittelbare Verknüpfung funktioneller Lebensmittelkomponenten mit der Biotechnologie und Molekularbiologie und können diese bewerten.,K,1;5,gut,
106,Hochschule Fulda,Immunology and Specific Food Applications,Die Studierenden kennen grundlegende Mechanismen der Immunologie sowie der mikrobiologischen Pathophysiologie und können diese in Bezug zu spezifischen Lebensmittelkomponenten und spezifischen Applikationsformen setzen.,K,1;4,gut,
107,Hochschule Fulda,Trocknungstechnik,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,akzeptabel,
108,Hochschule Fulda,Environmental Technology and Law,Die Studierenden kennen und verstehen die rechtlichen Grundlagen.,K,1;2,akzeptabel,
109,Hochschule Fulda,Food Analysis,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",K,2;5,gut,
110,Hochschule Fulda,Auslandsmodul I,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,3;5,akzeptabel,
111,Hochschule Fulda,Grundlagen Ingenieurwesen,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,K,2,akzeptabel,
112,Hochschule Fulda,Grundlagen Ingenieurwesen,"Die Studierenden sind in der Lage, technische Problemstellungen in der industriellen Herstellung von biotechnologischen Produkten und von Lebensmitteln zu erfassen, zu skizzieren und zu lösen.",K,2;3,gut,
113,Hochschule Fulda,Grundlagen des Managements,Die Studierenden lernen unternehmerische Handlungsweisen kennen und können betriebswirtschaftliche Entscheidungssituationen analysieren und zielgerichtet gestalten.,K,1;4;6,gut,
114,Hochschule Fulda,General Microbiology,Die Studierenden verfügen über einen Überblick über moderne und sich in der Entwicklung befindliche Alternativen zu den bestehenden Techniken und Technologieschritten sowie deren Kombinationsmöglichkeiten.,K,1,akzeptabel,
115,Hochschule Fulda,Sensorik,"Die Studierenden kennen ausgewählte sensorische Prüfverfahren und sind in der Lage, diese anzuwenden und deren Ergebnisse zu beurteilen.",K,1;3;5,gut,
116,Hochschule Fulda,Lebensmittelhygiene,"sind imstande, die Grundsätze der wissenschaftlichen Literaturarbeit anzuwenden.",K,3,akzeptabel,
117,Hochschule Fulda,Betriebswirtschaftliche Funktionen,Die Studierenden verstehen die betriebswirtschaftlichen Teilfunktionen aus realisations- und managementorientierter Sicht und können diese zueinander in Beziehung setzen.,K,2;4,gut,
118,Hochschule Fulda,Biochemie,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die biochemische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2;3,akzeptabel,
119,Hochschule Fulda,Biochemistry,Die Studierenden erwerben einen Überblick über wesentliche Stoffwechselwege,K,1,akzeptabel,
120,Hochschule Fulda,Qualitätsmanagement (LT),Die Studierenden können verschiedene Vorgehensweisen und Instrumente zur Sicherung der Lebensmittelqualität in lebensmittelbezogenen Fallsituationen zielgerichtet anwenden,K,3,gut,
121,Hochschule Fulda,Drying Technology,Die Studierenden sind in der Lage einfache Trocknungsanlagen zu berechnen und auszulegen.,K,3;6,gut,
122,Hochschule Fulda,Anlagentechnik und Hygienic Design,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,K,2;5,akzeptabel,
123,Hochschule Fulda,Einführung in die Arzneiformenlehre und Pharmakologie,Die Studierenden verfügen über Kenntnisse der grundlegenden pharmazeutischen Arbeitsweisen und Prozesse.,K,1,akzeptabel,
124,Hochschule Fulda,Lebensmittelverfahrenstechnik,"Die Studierenden können kleinere Projekte zur Berechnung und Auslegung von Apparaten/Verfahren zur Lebensmittelverfahrenstechnik selbstständig durchführen. − Versuche können frei geplant und selbstständig durchgeführt werden. − Modellrechnungen können in eingeschränktem Rahmen entwickelt werden.",K,3;6,akzeptabel,
125,Hochschule Fulda,Pharmaceutical Technology,Die Studierenden können technische und naturwissenschaftliche Grundlagen der pharmazeutischen Technologie verstehen und anwenden.,K,2;3,gut,
126,Hochschule Fulda,Food Analysis,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",K,2;5,gut,
127,Hochschule Fulda,"Mess-, Steuer-, Regelungstechnik",Die Studierenden verfügen über grundlegende Kenntnisse in der Steuerungs- und Regelungstechnik.,K,1,akzeptabel,
128,Hochschule Fulda,Kälte- und Wärmetechnik,Die Studierenden verfügen über ein Grundverständnis von wärme- und kältetechnischen Prozessen.,K,2,akzeptabel,
129,Hochschule Fulda,Aktuelle Themen der Biotechnologie,Die Studierenden kennen aktuelle Entwicklungen in der Biotechnologie,K,1,akzeptabel,
130,Hochschule Fulda,Fundamentals of Computer Science,"Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.",K,1;3,akzeptabel,
131,Hochschule Fulda,Physik,mit der Dynamik eines Massepunktes umzugehen und einfache Probleme der Newtonschen Mechanik (eines Massepunktes) zu berechnen,K,3,akzeptabel,
132,Hochschule Fulda,Technikprojekt,selbstständig und in Teams zu arbeiten,K,3,akzeptabel,
133,Hochschule Fulda,Technikprojekt,die Erstellung einfacher mechanische Konstruktionen,I,,schlecht,
134,Hochschule Fulda,Technikprojekt,Literatur und Internetrecherche wissenschaftlich fundiert zu nutzen,K,3,akzeptabel,
135,Hochschule Fulda,Xperience Lab 1,Fehlerschranken zu ermitteln,K,3,akzeptabel,
136,Hochschule Fulda,Mathematik 3,die Analogien und Unterschiede zwischen ein- und mehrdimensionaler Analysis wiederzugeben und zu erklären,K,1;2,akzeptabel,
137,Hochschule Fulda,Grundlagen der Thermodynamik und Strömungslehre,"Sie kennen die Größen, die die thermodynamischen Eigenschaften von Stoffen beschreiben und können diese durch grundlegende Anwendung von Stoffwertekorrelationen berechnen.",K,1;3,gut,
138,Hochschule Fulda,Maschinenelemente und Werkstoffe im Maschinenbau,grundlegende Maschinenelemente fertigungsgerecht und funktionssicher auszulegen,K,6,akzeptabel,
139,Hochschule Fulda,Berufspraktikum,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",K,4;5,akzeptabel,
140,Hochschule Fulda,Feldbusse,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",K,1,gut,
141,Hochschule Fulda,Feldbusse,"Sie kennen Komponenten und Geräte, mit denen mobile und stationäre Systeme vernetzt werden können sowie eine Auswahl an Kommunikationsprotokollen und deren applikationsspezifische Anwendung.",K,1,gut,
142,Hochschule Fulda,Betriebswirtschaftslehre 1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,K,1,gut,
143,Hochschule Fulda,Mathematik für Wirtschaftsinformatiker 1,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,2;3;6,akzeptabel,
144,Hochschule Fulda,Betriebswirtschaftslehre 2,"Die Studierenden definieren und unterscheiden Fachbegriffe aus den betrieblichen Funktionen Personal- und Materialwirtschaft, Logistik, Produktion, Marketing sowie der Planung als Teil der betrieblichen Leitungsfunktion.",K,1;4,gut,
145,Hochschule Fulda,IT-Sicherheit,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,K,1,gut,
146,Hochschule Fulda,Praxisprojekt,Die Studierenden wenden das erlernte Fach- und Methodenwissen aus dem Studium in einer Unternehmensumgebung an.,K,3,gut,
147,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,K,2,gut,
148,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,K,1;3;4,gut,
149,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Wirtschaftsinformatik vom 22.01.2020, zuletzt geändert am 17.01.2024 Hochschule Fulda, Fachbereich Angewandte Informatik Seite 57",S,,schlecht,
150,Hochschule Fulda,Personalmanagement,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung.",K,2,gut,
