studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz,split,val_typ,val_taxonomie,val_qualitaet,val_kommentar
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5022,Advanced Computer Networks,2,"Die Studierenden benennen Lösungen für Performance, Fehlertoleranz und Skalierbarkeit in Netzen von Unternehmen, Rechenzentren sowie Network und Internet Service Providern.",K,1,gut,0.90,test,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5029,Cloud Computing,3,Die Studierenden beschreiben die Charakteristika des Cloud Computing und zugehöriger IT-Infrastruktur anhand von gegebenen Beispielen.,K,2,gut,0.95,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5085,Parallel Programming,2,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen.,K,3,akzeptabel,0.75,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,1,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme zu illustrieren.,K,2,akzeptabel,0.75,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,7,Die Studierenden wenden die erworbenen Kenntnisse in der Gestaltung bzw. Programmierung einer eigenen kreativen Arbeit an.,K,3,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,1,"Die Studierenden benennen konkrete Methoden der Datenanalyse sowie allgemein quantitative Methoden innerhalb von Business-Anwendungen; in erster Linie die analytischen Anteile von vertikal integrierten Business-Anwendungen, wie Supply-Chain-Management-Anwendungen sowie Customer-RelationshipAnwendungen.",K,1,akzeptabel,0.80,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,3,Dazu gehört die Auswahl und praktische Anwendung sinnvoller Methoden.,I,,akzeptabel,0.80,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,6,Dies schließt insbesondere die Auswahl und Bewertung geeigneter Literatur sowie die Präsentation der Ergebnisse mit ein.,I,,akzeptabel,0.70,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,3,"Die Studierenden erläutern die wichtigsten Konzepte von Geschäftsprozessmodellen, soweit sie für die durch das Mining erzeugten Prozessmodelle relevant sind, speziell Petri-Netze und BPMN",K,2,akzeptabel,0.85,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,5,"Die Studierenden analysieren ein gegebenes Problem, um dieses in Hardware- und Software-Anteile zu zerlegen.",K,4,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,1,Die Studierenden beschreiben die Grundlagen zur semantischen Modellierung von 3D-Umgebungsdaten im Kontext der mobilen Robotik.,K,2,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,3,Die Studierenden schreiben einfache Anwendungen unter Verwendung der Programmiersprache Prolog.,K,3,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,5,Die Studierenden unterscheiden zwischen Processing-time und Event-time und verarbeiten out-of-order und late-arriving Daten robust.,K,3;4,gut,0.85,test,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,6,Die Studierenden verarbeiten Streaming-Daten nach definierten Anforderungen unter Einsatz von den verschiedenen Typen von Streaming Joins.,K,3,gut,0.85,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,8,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,K,2,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,2,Die Studierenden schildern dazu die technischen Grundlagen gängiger 3D-Sensoren und die daraus resultierenden Effekte bzgl.,K,2,schlecht,0.65,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,4,"Die Studierenden verwalten große 3D-Punktwolken speicher- und laufzeiteffizient, registrieren diese in einem gemeinsamen Koordinatensystem und visualisieren diese.",K,3,gut,0.85,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI5031,Machine Learning,3,"Die Studierenden benennen die Herausforderungen, welche sich in der Praxis der Objekt-und Mustererkennung ergeben, erläutern die wichtigsten Lösungsansätze und wenden diese Ansätze zur Lösung gegebener Aufgabenstellungen an.",K,1;2;3,gut,0.90,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI5025,Big Data Technologies,5,BigData / noSQL Use Cases zu beurteilen und zu evaluieren.,K,5,schlecht,0.70,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI5170,Data Visualization,2,Die Studierenden wählen die passenden Visualisierungsformen auf Basis des Daten- und Informationsdesigns für gegebene Daten aus und begründen diese in eigenen Worten.,K,2;5,gut,0.85,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI4002,Additional Courses for Data Science,2,Die jeweiligen Qualifikationsziele ergeben sich aus den Modulbeschreibungen der belegten Module.,S,,akzeptabel,0.80,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,3,die grundlegenden Komponenten des erweiterten Hadoop Ecosystem hands-on zu unterscheiden und anzuwenden.,K,3;4,akzeptabel,0.80,train,,,,
Data Science (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,4,Die Studierenden verarbeiten Daten Streams mithilfe gängiger Frameworks.,K,3,gut,0.90,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1430,Gestaltungsgrundlagen,2,"Projektbasierte, praktische Erfahrungen im Umgang mit aktueller Gestaltungssoftware werden gesammelt.",K,3,schlecht,0.70,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1437,Lineare Algebra,2,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,5;6,akzeptabel,0.65,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,2,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,K,3,akzeptabel,0.70,test,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1051,Animationsprogrammierung,3,"Die Studierenden fassen die grundlegende Funktionsweise prozeduraler Animationstechniken, insbesondere Partikelsysteme fachgerecht zusammen.",K,2,gut,0.90,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1422,Begreifbare Schnittstellen,6,"Sie üben die Verwendung von Werkzeugen zur Systemerstellung und Modellierung, sind in der Lage, begreifbare Schnittstellen und zu steuerndes System zu integrieren, verstehen, wie Sensordaten übertragen und integriert werden können und sind in der Lage, eine einfaches System mit begreifbarer Schnittstelle zu konzipieren und zu programmieren.",K,2;3;6,akzeptabel,0.75,test,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1048,Digitale Bildverarbeitung,5,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",K,3,gut,0.90,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1098,Digitale Fotografie,2,"Sie sind in der Lage, mit verschiedenem Fotoequipment umzugehen und deren technischen Möglichkeiten zielorientiert einzusetzen.",K,3,gut,0.85,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,2,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,K,2,gut,0.85,test,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1030,Entwicklung von betrieblicher Anwendungssoftware,10,Die Studierenden verstehen das Konzept der Verteilung von Anwendungen und können die wesentlichen Punkte benennen sowie kleine Beispiele implementieren.,K,1;2;3,akzeptabel,0.80,train,,,,
Digitale Medien (B.Sc.),Hochschule Fulda,AI1316,Mediendidaktik und E-Learning,2,Ziel ist sowohl der Erwerb interdisziplinärer Kompetenzen aus den Gebieten der pädagogischen Psychologie und der Didaktik als auch die Einarbeitung in technische Standards im Umfeld heutiger E-Learning An- wendungen.,S,,schlecht,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1000,Mathematik 1,2,die grundlegenden Techniken und Methoden zur Lösung von Gleichungen und zur Untersuchung von Funktionen zu beherrschen,K,3,akzeptabel,0.75,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,3,nichtlineare Netzwerke grundlegend zu beschreiben und zu berechnen,K,2;3,akzeptabel,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,1,die typischen Aufgaben von Ingenieur*innen wiederzugeben,K,1,akzeptabel,0.85,test,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1596,Xperience Lab 2,2,Messergebnisse zu bewerten und zu dokumentieren.,K,3;5,akzeptabel,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1048,Aufbau elektronischer Schaltungen,4,eine einfache elektronische / leistungselektronische Schaltung praktisch zu realisieren,K,3,gut,0.85,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1048,Aufbau elektronischer Schaltungen,12,methodisches Arbeiten,I,,schlecht,0.60,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1021,Mechanische Konstruktion,6,einfache Bauteile und Baugruppen mit Hilfe eines CAD-Programms systematisch zu entwickeln,K,6,gut,0.85,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1034,Berufspraktikum,3,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",K,4;5,gut,0.90,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1052,Regelungstechnik 2,1,nichtlineare Systeme um einen Arbeitspunkt zu linearisieren,K,3,akzeptabel,0.65,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1589,Automatisierungstechnik 2,2,"Sie kennen Gerätetypen, Prozessschnittstellen und Diagnosesysteme mit denen das Prozessabbild zwischen Steuerungen und technischen Prozessen automatisiert werden können.",K,1,akzeptabel,0.85,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1099,Praktikum: Eingebettete Systeme,2,"Software für eingebettete Systeme zu entwerfen, zu implementieren und in Betrieb zu nehmen",K,3;6,gut,0.90,test,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1060,EDA (Schaltungen und Platinen),5,Sinn und Zweck von Normung und Zertifizierung wiederzugeben,K,1,akzeptabel,0.85,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1060,EDA (Schaltungen und Platinen),7,komplexe Design-Werkzeuge für Schaltungs- und Platinenentwurf und Simulation zu o.g.,S,,schlecht,0.50,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1062,Praktikum: Mikrocontroller und Signalprozessoren,1,Projekte mit Mikrocontrollern zu bearbeiten,K,3,akzeptabel,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1065,Betriebssysteme für eingebettete Systeme,2,Standards für und den Aufbau von Betriebssystemen für eingebettete Systeme wiederzugeben,K,1,akzeptabel,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1631,Einführung in Frameworks autonomer mobiler Robotik,3,Austauschformate anhand von Datenblättern in ROS-Nachrichten zu implementieren,K,3,gut,0.85,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1041,Feldbusse,1,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",K,1,akzeptabel,0.80,train,,,,
Elektrotechnik und Informationstechnik (B.Sc.),Hochschule Fulda,ET1041,Feldbusse,5,"Die Modulsprache ist teilweise Deutsch und Englisch, da Spezifikationen von Feldbussystemen häufig in Englischer Sprache verfasst werden.",S,,akzeptabel,0.90,train,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1000,Mathematik 1,1,"die wichtigen Begriffe der Mathematik (z.B. Zahlenmengen, Funktionen, Folgen) und der analytischen Geometrie und linearen Algebra (z.B. Vektoren, Matrizen) zu verstehen",K,2,akzeptabel,0.80,test,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,7,Verständnis einfacher elektrischer Schaltungen,K,2,schlecht,0.70,train,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1021,Mechanische Konstruktion,4,einen Überblick über grundlegende Fertigungsverfahren des Maschinenbaus zu geben,K,1;2,akzeptabel,0.75,train,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1021,Mechanische Konstruktion,7,Methoden zur Lösung konstruktiver Probleme anzuwenden,K,3,gut,0.90,test,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1041,Feldbusse,4,Das Modul integriert Fachkompetenzen der Digitaltechnik und der Informatik.,I,,akzeptabel,0.90,test,,,,
Erneuerbare Energien (B.Sc.),Hochschule Fulda,ET1040,Numerische Feldberechnung mit der Finite-Elemente-Methode,1,Einsatzbereiche und theoretische Grundlagen von Finite-Elemente-Analysen (FEA) widerzugeben,K,1,akzeptabel,0.85,test,,,,
Food Processing (M.Sc.),Hochschule Fulda,LT5019,Mathematische Entscheidungselemente und Datenanalyse II,1," verstehen komplexe statistische Verfahren, Methoden und Tests.  bewerten deren Ergebnisse, können die Anwendbarkeit beurteilen und komplexe Methoden interpretieren.  wenden statistische Verfahren an, ermitteln eigene Ergebnisse aus aktuellen Forschungsarbeiten und sind in der Lage, diese kritisch zu bewerten.",K,2;3;5,akzeptabel,0.80,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5025,Big Data Technologies,5,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme darzustellen und zu beschreiben.,K,1;2,akzeptabel,0.85,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5094,Software Development Project,1,"Die Studierenden sind in der Lage, eine komplexe Software-Entwicklungsaufgabe im Team mit Mitteln des modernen Projektmanagements zu lösen.",K,3,gut,0.85,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5016,Research Project,2,Die Studierenden leiten für eine gegebene Problemstellung wissenschaftlich nachvollziehbar Forschungsfragen oder Hypothesen ab.,K,4;6,gut,0.80,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5016,Research Project,5,"Die Studierenden wählen begründet aus den etablierten Methoden eines Forschungsgebietes diejenigen , zur Erreichung der konkreten Forschungs(teil)ziele geeigneten Methoden, aus und wenden sie an.",K,3;5,gut,0.85,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,5,darüberhinausgehende Anwendungen und Use Cases an einzelnen Beispielen genauer zu bearbeiten und architektonische Ansätze aus den Big Data Use Cases abzuleiten.,K,3;4,akzeptabel,0.75,train,,,,
Global Software Development (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,8,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,K,2,gut,0.90,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1225,General Chemistry,3,"Die Studierenden sind in der Lage, Aufgaben aus diesen Bereichen selbstständig zu lösen.",K,3,akzeptabel,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1189,Grundlagen Ingenieurwesen,1,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,K,2,akzeptabel,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1192,Organische Chemie,3,Die Studierenden können grundlegende organisch-chemische Reaktionen formulieren bzw. nachvollziehen und sind somit imstande auch biochemische bzw. lebensmittelchemische Prozesse zu verstehen.,K,2;3,akzeptabel,0.75,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,1,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Wärmelehre.,K,1,akzeptabel,0.90,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,5,Die Studierenden können grundlegende Berechnungen selber durchführen und umfangreichere nachvollziehen.,K,3,akzeptabel,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),6,Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1;3,akzeptabel,0.75,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,schlecht,0.65,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,schlecht,0.65,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1265,Measurement and Control Engineering,1,Die Studierenden kennen die grundlegenden Messtechniken der Elektrotechnik.,K,1,akzeptabel,0.85,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,3,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,K,1,akzeptabel,0.85,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1242,Thermal Process Engineering,6,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei thermischen Verfahren.,K,2,akzeptabel,0.80,test,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1379,Bioverfahrenstechnik,2,Die Studierenden verstehen das Vorgehen beim Hochskalieren von Bioreaktoren.,K,2,akzeptabel,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1198,Biochemie,3,"Die Studierenden sind imstande, die Grundsätze wissenschaftlicher Literaturarbeit anzuwenden.",K,3,gut,0.90,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1245,Biochemistry,4,"Die Studierenden sind in der Lage, Experimente nach statistischen Aspekten zu planen.",K,6,gut,0.85,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),2,"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",S,,schlecht,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),12,"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,2;5,schlecht,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1323,Quality Management (IBT),4,"Sie werden befähigt, eine strukturierte Quellenrecherche zu betreiben.",K,3,akzeptabel,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1323,Quality Management (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",K,3;6,schlecht,0.50,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1323,Quality Management (IBT),12,"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,1;5,akzeptabel,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1038,Praxisphase,4,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,akzeptabel,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1252,Internship,4,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,akzeptabel,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1042,Immunologie und spezifische Lebensmittelapplikationen,3,Die Studierenden kennen die unmittelbare Verknüpfung funktioneller Lebensmittelkomponenten mit der Biotechnologie und Molekularbiologie und können diese bewerten.,K,1;5,akzeptabel,0.80,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1254,Immunology and Specific Food Applications,1,Die Studierenden kennen grundlegende Mechanismen der Immunologie sowie der mikrobiologischen Pathophysiologie und können diese in Bezug zu spezifischen Lebensmittelkomponenten und spezifischen Applikationsformen setzen.,K,1;3,akzeptabel,0.75,test,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1047,Trocknungstechnik,1,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,akzeptabel,0.70,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1260,Environmental Technology and Law,4,Die Studierenden kennen und verstehen die rechtlichen Grundlagen.,K,1;2,akzeptabel,0.85,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1264,Food Analysis,4,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",K,2;5,gut,0.85,train,,,,
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1397,Auslandsmodul I,2,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,5;6,akzeptabel,0.60,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1189,Grundlagen Ingenieurwesen,1,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,K,2,akzeptabel,0.70,test,,,,
