studiengang,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,2,Erkennen und einordnen von Datenbanken als Grundlage betrieblicher Informationssysteme,K,4,0.75,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,3,Beschreiben und darstellen der Grundlagen von Transaktionen,K,2,0.85,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,4,Datenmodelle in einfachen und fortgeschrittenen Szenarien entwickeln,K,6,0.80,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,5,Entwerfen komplexerer ER- und EER-Modelle und Schemata,K,6,0.85,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,6,Erlernen und anwenden von Relationenalgebra (vor allem in Hinblick auf SQL),K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,7,Anwenden von SQL,K,3,0.90,test
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,8,"Generieren/entwickeln von Datenintegrität, insbesondere in Datenbanken",K,6,0.65,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,9,Führen Normalisierungen von Datenmodellen durch,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,10,Können physischer Datenorganisation beschreiben und erläutern,K,2,0.80,test
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,11,Demonstrieren grundlegendes Verstehen der Umsetzung/des Anlegens von Indices,K,2,0.75,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,12,"Darstellen des Zusammenhangs von Datenbanken & Performanz, fundamentale Umsetzung von Tuning Optional:",K,2,0.70,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,13,Anwenden Object-Relational-Mapping (ORM) Frameworks,K,3,0.85,test
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,14,Formulieren grundlegender prozeduraler SQL (Stored Programs),K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,1,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,K,1,0.90,train
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,2,Die Studierenden definieren und unterscheiden Fachbegriffe der IT-Sicherheit.,K,4,0.85,train
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,3,"Die Studierenden analysieren gegebene Problemstellungen auf Anfälligkeit gegenüber Angriffen, bewerten die Relevanz der Absicherung gegenüber den Angriffen und können passende Sicherheitsmechanismen benennen.",K,5,0.85,test
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,4,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",K,3,0.80,test
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,5,"Die Studierenden benennen Protokolle im Bereich der IT-Sicherheit, erklären, wieso die Sicherheitsziele der Protokolle erreicht werden und können passende Protokolle zu gegebenen Problemstellungen auswählen.",K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1017,IT-Sicherheit,6,"Die Studierenden benennen Angriffe und Gegenmaßnahmen im Bereich der Netzwerksicherheit, Betriebssystemsicherheit und Softwaresicherheit und können die Gegenmaßnahmen passend zu einer Problemstellung anwenden.",K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,1,Die Studierenden führen Gespräche zur Angewandten Informatik fachgerecht.,K,3,0.70,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,2,Die Studierenden wenden die entsprechenden Methoden und Techniken der Kommunikation an.,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,3,Die Studierenden beherrschen das Erstellen der visuellen Hilfsmittel.,K,3,0.70,test
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,4,Die Studierenden nutzen multimediale Hilfsmittel bei Präsentationen.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,5,Die Studierenden setzen rhetorische Hilfsmittel ein.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,6,Die Studierenden beherrschen die Zielplanung einer Präsentation .,K,3,0.65,train
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,7,Die Studierenden erklären die Grundprinzipien wissenschaftlichen Arbeitens und wenden diese auf kleine Arbeiten an.,K,3,0.85,test
Angewandte Informatik (B.Sc.),AI1016,Wissenschaftliche Präsentation und Kommunikation,8,Die Studierenden erläutern die Einsatzzwecke für ausgewählte digitale Werkzeuge für das wissenschaftliche Arbeiten und wenden diese im Rahmen kleinerer Arbeiten an.,K,3,0.85,test
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,1,Die Studierenden listen die Grundelemente eines Betriebssystems sowie die verschiedenen Betriebssystem-architekturen auf.,K,1,0.95,test
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,2,"Die Studierenden erklären, wie das Betriebssystem bestimmte Aufgaben abwickelt (z.B. Prozess-, Hauptspeicher- und Dateiverwaltung).",K,2,0.95,train
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,3,Die Studierenden beurteilen unterschiedliche Betriebssysteme.,K,5,0.95,train
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,4,Die Studierenden wählen für eine vorgegebene Aufgabe ein passendes Betriebssystem aus.,K,5,0.80,train
Angewandte Informatik (B.Sc.),AI1013,Betriebssysteme,5,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen (z.B. Synchronisation von Prozessen).,K,6,0.75,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,1,Die Studierenden erklären den Unterschied zwischen und die praktische Bedeutung von Determinismus und Nichtdeterminismus.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,2,Die Studierenden erklären den Unterschied zwischen Mehrdeutigkeit einer kontext-freien Grammatik und (inhärenter) Mehrdeutigkeit einer kontext-freien Sprache.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,3,"Die Studierenden beschreiben die Chomsky-Hierarchie, erklären die Bedeutung der einzelnen Stufen und ordnen ihnen Automatenmodelle sowie Arten von Grammatiken korrekt zu.",K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,4,Die Studierenden nennen Beispiele für Sprachen der einzelnen Stufen der Chomsky-Hierarchie.,K,1,0.95,test
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,5,Die Studierenden formalisieren konkrete Automaten bzw. Grammatiken als Instanz der jeweiligen Definition.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,6,Die Studierenden wenden die verschiedenen Arten zur Definition einer formalen Sprache korrekt an (u.a. induktiv).,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,7,Die Studierenden entwickeln Grammatiken bzw. Automaten für eine gegebene Sprache.,K,6,0.85,test
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,8,Die Studierenden entwickeln reguläre Ausdrücke für eine gegebene Problemstellung.,K,6,0.85,test
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,9,"Die Studierenden zeigen, dass ein Wort akzeptiert bzw. generiert wird.",K,3,0.75,test
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,10,Die Studierenden erstellen Syntaxbäume (basierend auf einfachen kontext-freien Grammtiken oder EBNF).,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,11,Die Studierenden überführen eine kontext-freie Grammatik in Greibach-Normalform.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,12,Die Studierenden nutzen einen Parsergenerator und spezifizieren dafür die zu parsende Sprache.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,13,Die Studierenden führen Beweise der (Un-) Vollständigkeit bzw. (fehlender) Korrektheit.,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,14,Die Studierenden beweisen die Mehrdeutigkeit einer kontext-freien Grammatik.,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1606,Formale Sprachen – Theoretische Grundlagen und Anwendung,15,Die Studierenden erarbeiten sich selbständig eine bisher unbekannte Definition und nutzen diese zur Formalisierung.,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,1,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen.",S,,0.95,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,2,"Das Ziel des verteilten Systems (VS) ist es diese Systeme zu integrieren, um das Erscheinungsbild eines einzigen, kohärenten Systems zu präsentieren.",S,,0.95,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,3,Die Studierenden benennen die Grundlagen der verteilten Systeme und ihrer Nutzung.,K,1,0.90,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,4,Die Studierenden beschreiben Design und Implementierung von verteilten Systemen sowie ihre Benutzung.,K,2,0.85,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,5,Die Studierenden lösen gängige Probleme bei verteilten Systemen.,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,6,Die Studierenden beurteilen die Einsatzmöglichkeiten und Realisierungsmöglichkeiten verteilter Anwendungen.,K,5,0.90,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,7,Die Studierenden reproduzieren die Grundlagen zur verteilten Koordination.,K,1,0.90,train
Angewandte Informatik (B.Sc.),AI1015,Verteilte Systeme,8,"Die Studierenden analysieren die Schnittstelle heterogener verteilter Betriebssysteme und entwerfen eine kohärente Systemfassade, die das verteilte System vertritt.",K,6,0.85,train
