nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
28,Hochschule Fulda,Process Mining,"Die Studierenden erläutern die wichtigsten Konzepte von Geschäftsprozessmodellen, soweit sie für die durch das Mining erzeugten Prozessmodelle relevant sind, speziell Petri-Netze und BPMN",,,,
29,Hochschule Fulda,Reconfigurable Computing,"Die Studierenden analysieren ein gegebenes Problem, um dieses in Hardware- und Software-Anteile zu zerlegen.",,,,
30,Hochschule Fulda,Semantische Umgebungsmodellierung,Die Studierenden beschreiben die Grundlagen zur semantischen Modellierung von 3D-Umgebungsdaten im Kontext der mobilen Robotik.,,,,
31,Hochschule Fulda,Semantische Umgebungsmodellierung,Die Studierenden schreiben einfache Anwendungen unter Verwendung der Programmiersprache Prolog.,,,,
32,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden unterscheiden zwischen Processing-time und Event-time und verarbeiten out-of-order und late-arriving Daten robust.,,,,
33,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden verarbeiten Streaming-Daten nach definierten Anforderungen unter Einsatz von den verschiedenen Typen von Streaming Joins.,,,,
34,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,,,,
35,Hochschule Fulda,Verarbeitung von 3D-Punktwolkendaten,Die Studierenden schildern dazu die technischen Grundlagen gängiger 3D-Sensoren und die daraus resultierenden Effekte bzgl.,,,,
36,Hochschule Fulda,Verarbeitung von 3D-Punktwolkendaten,"Die Studierenden verwalten große 3D-Punktwolken speicher- und laufzeiteffizient, registrieren diese in einem gemeinsamen Koordinatensystem und visualisieren diese.",,,,
37,Hochschule Fulda,Machine Learning,"Die Studierenden benennen die Herausforderungen, welche sich in der Praxis der Objekt-und Mustererkennung ergeben, erläutern die wichtigsten Lösungsansätze und wenden diese Ansätze zur Lösung gegebener Aufgabenstellungen an.",,,,
38,Hochschule Fulda,Big Data Technologies,BigData / noSQL Use Cases zu beurteilen und zu evaluieren.,,,,
39,Hochschule Fulda,Data Visualization,Die Studierenden wählen die passenden Visualisierungsformen auf Basis des Daten- und Informationsdesigns für gegebene Daten aus und begründen diese in eigenen Worten.,,,,
40,Hochschule Fulda,Additional Courses for Data Science,Die jeweiligen Qualifikationsziele ergeben sich aus den Modulbeschreibungen der belegten Module.,,,,
41,Hochschule Fulda,Advanced Big Data,die grundlegenden Komponenten des erweiterten Hadoop Ecosystem hands-on zu unterscheiden und anzuwenden.,,,,
42,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden verarbeiten Daten Streams mithilfe gängiger Frameworks.,,,,
43,Hochschule Fulda,Gestaltungsgrundlagen,"Projektbasierte, praktische Erfahrungen im Umgang mit aktueller Gestaltungssoftware werden gesammelt.",,,,
44,Hochschule Fulda,Lineare Algebra,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",,,,
45,Hochschule Fulda,Mensch-Computer-Interaktion,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,,,,
46,Hochschule Fulda,Animationsprogrammierung,"Die Studierenden fassen die grundlegende Funktionsweise prozeduraler Animationstechniken, insbesondere Partikelsysteme fachgerecht zusammen.",,,,
47,Hochschule Fulda,Begreifbare Schnittstellen,"Sie üben die Verwendung von Werkzeugen zur Systemerstellung und Modellierung, sind in der Lage, begreifbare Schnittstellen und zu steuerndes System zu integrieren, verstehen, wie Sensordaten übertragen und integriert werden können und sind in der Lage, eine einfaches System mit begreifbarer Schnittstelle zu konzipieren und zu programmieren.",,,,
48,Hochschule Fulda,Digitale Bildverarbeitung,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",,,,
49,Hochschule Fulda,Digitale Fotografie,"Sie sind in der Lage, mit verschiedenem Fotoequipment umzugehen und deren technischen Möglichkeiten zielorientiert einzusetzen.",,,,
50,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,,,,
51,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,Die Studierenden verstehen das Konzept der Verteilung von Anwendungen und können die wesentlichen Punkte benennen sowie kleine Beispiele implementieren.,,,,
52,Hochschule Fulda,Mediendidaktik und E-Learning,Ziel ist sowohl der Erwerb interdisziplinärer Kompetenzen aus den Gebieten der pädagogischen Psychologie und der Didaktik als auch die Einarbeitung in technische Standards im Umfeld heutiger E-Learning An- wendungen.,,,,
53,Hochschule Fulda,Mathematik 1,die grundlegenden Techniken und Methoden zur Lösung von Gleichungen und zur Untersuchung von Funktionen zu beherrschen,,,,
54,Hochschule Fulda,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,nichtlineare Netzwerke grundlegend zu beschreiben und zu berechnen,,,,
55,Hochschule Fulda,Technikprojekt,die typischen Aufgaben von Ingenieur*innen wiederzugeben,,,,
56,Hochschule Fulda,Xperience Lab 2,Messergebnisse zu bewerten und zu dokumentieren.,,,,
57,Hochschule Fulda,Aufbau elektronischer Schaltungen,eine einfache elektronische / leistungselektronische Schaltung praktisch zu realisieren,,,,
58,Hochschule Fulda,Aufbau elektronischer Schaltungen,methodisches Arbeiten,,,,
59,Hochschule Fulda,Mechanische Konstruktion,einfache Bauteile und Baugruppen mit Hilfe eines CAD-Programms systematisch zu entwickeln,,,,
60,Hochschule Fulda,Berufspraktikum,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",,,,
61,Hochschule Fulda,Regelungstechnik 2,nichtlineare Systeme um einen Arbeitspunkt zu linearisieren,,,,
62,Hochschule Fulda,Automatisierungstechnik 2,"Sie kennen Gerätetypen, Prozessschnittstellen und Diagnosesysteme mit denen das Prozessabbild zwischen Steuerungen und technischen Prozessen automatisiert werden können.",,,,
63,Hochschule Fulda,Praktikum: Eingebettete Systeme,"Software für eingebettete Systeme zu entwerfen, zu implementieren und in Betrieb zu nehmen",,,,
64,Hochschule Fulda,EDA (Schaltungen und Platinen),Sinn und Zweck von Normung und Zertifizierung wiederzugeben,,,,
65,Hochschule Fulda,EDA (Schaltungen und Platinen),komplexe Design-Werkzeuge für Schaltungs- und Platinenentwurf und Simulation zu o.g.,,,,
66,Hochschule Fulda,Praktikum: Mikrocontroller und Signalprozessoren,Projekte mit Mikrocontrollern zu bearbeiten,,,,
67,Hochschule Fulda,Betriebssysteme für eingebettete Systeme,Standards für und den Aufbau von Betriebssystemen für eingebettete Systeme wiederzugeben,,,,
68,Hochschule Fulda,Einführung in Frameworks autonomer mobiler Robotik,Austauschformate anhand von Datenblättern in ROS-Nachrichten zu implementieren,,,,
69,Hochschule Fulda,Feldbusse,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",,,,
70,Hochschule Fulda,Feldbusse,"Die Modulsprache ist teilweise Deutsch und Englisch, da Spezifikationen von Feldbussystemen häufig in Englischer Sprache verfasst werden.",,,,
71,Hochschule Fulda,Mathematik 1,"die wichtigen Begriffe der Mathematik (z.B. Zahlenmengen, Funktionen, Folgen) und der analytischen Geometrie und linearen Algebra (z.B. Vektoren, Matrizen) zu verstehen",,,,
72,Hochschule Fulda,Technikprojekt,Verständnis einfacher elektrischer Schaltungen,,,,
73,Hochschule Fulda,Mechanische Konstruktion,einen Überblick über grundlegende Fertigungsverfahren des Maschinenbaus zu geben,,,,
74,Hochschule Fulda,Mechanische Konstruktion,Methoden zur Lösung konstruktiver Probleme anzuwenden,,,,
75,Hochschule Fulda,Feldbusse,Das Modul integriert Fachkompetenzen der Digitaltechnik und der Informatik.,,,,
76,Hochschule Fulda,Numerische Feldberechnung mit der Finite-Elemente-Methode,Einsatzbereiche und theoretische Grundlagen von Finite-Elemente-Analysen (FEA) widerzugeben,,,,
77,Hochschule Fulda,Mathematische Entscheidungselemente und Datenanalyse II," verstehen komplexe statistische Verfahren, Methoden und Tests.  bewerten deren Ergebnisse, können die Anwendbarkeit beurteilen und komplexe Methoden interpretieren.  wenden statistische Verfahren an, ermitteln eigene Ergebnisse aus aktuellen Forschungsarbeiten und sind in der Lage, diese kritisch zu bewerten.",,,,
78,Hochschule Fulda,Big Data Technologies,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme darzustellen und zu beschreiben.,,,,
79,Hochschule Fulda,Software Development Project,"Die Studierenden sind in der Lage, eine komplexe Software-Entwicklungsaufgabe im Team mit Mitteln des modernen Projektmanagements zu lösen.",,,,
80,Hochschule Fulda,Research Project,Die Studierenden leiten für eine gegebene Problemstellung wissenschaftlich nachvollziehbar Forschungsfragen oder Hypothesen ab.,,,,
81,Hochschule Fulda,Research Project,"Die Studierenden wählen begründet aus den etablierten Methoden eines Forschungsgebietes diejenigen , zur Erreichung der konkreten Forschungs(teil)ziele geeigneten Methoden, aus und wenden sie an.",,,,
82,Hochschule Fulda,Advanced Big Data,darüberhinausgehende Anwendungen und Use Cases an einzelnen Beispielen genauer zu bearbeiten und architektonische Ansätze aus den Big Data Use Cases abzuleiten.,,,,
83,Hochschule Fulda,Stream Processing and Analytics,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,,,,
84,Hochschule Fulda,General Chemistry,"Die Studierenden sind in der Lage, Aufgaben aus diesen Bereichen selbstständig zu lösen.",,,,
85,Hochschule Fulda,Grundlagen Ingenieurwesen,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,,,,
86,Hochschule Fulda,Organische Chemie,Die Studierenden können grundlegende organisch-chemische Reaktionen formulieren bzw. nachvollziehen und sind somit imstande auch biochemische bzw. lebensmittelchemische Prozesse zu verstehen.,,,,
87,Hochschule Fulda,Physikalische Chemie,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Wärmelehre.,,,,
88,Hochschule Fulda,Physikalische Chemie,Die Studierenden können grundlegende Berechnungen selber durchführen und umfangreichere nachvollziehen.,,,,
89,Hochschule Fulda,Fundamentals of Biology and Raw Materials (IBT),Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,,,,
90,Hochschule Fulda,Zellbiologie/Zellkulturtechnik,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,,,,
91,Hochschule Fulda,Cell Biology / Cell Culture Technology,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,,,,
92,Hochschule Fulda,Measurement and Control Engineering,Die Studierenden kennen die grundlegenden Messtechniken der Elektrotechnik.,,,,
93,Hochschule Fulda,Grundlagen der Informatik,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,,,,
94,Hochschule Fulda,Thermal Process Engineering,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei thermischen Verfahren.,,,,
95,Hochschule Fulda,Bioverfahrenstechnik,Die Studierenden verstehen das Vorgehen beim Hochskalieren von Bioreaktoren.,,,,
96,Hochschule Fulda,Biochemie,"Die Studierenden sind imstande, die Grundsätze wissenschaftlicher Literaturarbeit anzuwenden.",,,,
97,Hochschule Fulda,Biochemistry,"Die Studierenden sind in der Lage, Experimente nach statistischen Aspekten zu planen.",,,,
98,Hochschule Fulda,Qualitätsmanagement (IBT),"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",,,,
99,Hochschule Fulda,Qualitätsmanagement (IBT),"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",,,,
100,Hochschule Fulda,Quality Management (IBT),"Sie werden befähigt, eine strukturierte Quellenrecherche zu betreiben.",,,,
101,Hochschule Fulda,Quality Management (IBT),"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",,,,
102,Hochschule Fulda,Quality Management (IBT),"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",,,,
103,Hochschule Fulda,Praxisphase,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,,,,
104,Hochschule Fulda,Internship,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,,,,
105,Hochschule Fulda,Immunologie und spezifische Lebensmittelapplikationen,Die Studierenden kennen die unmittelbare Verknüpfung funktioneller Lebensmittelkomponenten mit der Biotechnologie und Molekularbiologie und können diese bewerten.,,,,
106,Hochschule Fulda,Immunology and Specific Food Applications,Die Studierenden kennen grundlegende Mechanismen der Immunologie sowie der mikrobiologischen Pathophysiologie und können diese in Bezug zu spezifischen Lebensmittelkomponenten und spezifischen Applikationsformen setzen.,,,,
107,Hochschule Fulda,Trocknungstechnik,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,,,,
108,Hochschule Fulda,Environmental Technology and Law,Die Studierenden kennen und verstehen die rechtlichen Grundlagen.,,,,
109,Hochschule Fulda,Food Analysis,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",,,,
110,Hochschule Fulda,Auslandsmodul I,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",,,,
111,Hochschule Fulda,Grundlagen Ingenieurwesen,Die Studierenden erlangen ein Verständnis für die Bio- und Lebensmitteltechnologie als interdisziplinäre Fächer an der Schnittstelle von Natur- und Ingenieurwissenschaften.,,,,
112,Hochschule Fulda,Grundlagen Ingenieurwesen,"Die Studierenden sind in der Lage, technische Problemstellungen in der industriellen Herstellung von biotechnologischen Produkten und von Lebensmitteln zu erfassen, zu skizzieren und zu lösen.",,,,
113,Hochschule Fulda,Grundlagen des Managements,Die Studierenden lernen unternehmerische Handlungsweisen kennen und können betriebswirtschaftliche Entscheidungssituationen analysieren und zielgerichtet gestalten.,,,,
114,Hochschule Fulda,General Microbiology,Die Studierenden verfügen über einen Überblick über moderne und sich in der Entwicklung befindliche Alternativen zu den bestehenden Techniken und Technologieschritten sowie deren Kombinationsmöglichkeiten.,,,,
115,Hochschule Fulda,Sensorik,"Die Studierenden kennen ausgewählte sensorische Prüfverfahren und sind in der Lage, diese anzuwenden und deren Ergebnisse zu beurteilen.",,,,
116,Hochschule Fulda,Lebensmittelhygiene,"sind imstande, die Grundsätze der wissenschaftlichen Literaturarbeit anzuwenden.",,,,
117,Hochschule Fulda,Betriebswirtschaftliche Funktionen,Die Studierenden verstehen die betriebswirtschaftlichen Teilfunktionen aus realisations- und managementorientierter Sicht und können diese zueinander in Beziehung setzen.,,,,
118,Hochschule Fulda,Biochemie,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die biochemische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,,,,
119,Hochschule Fulda,Biochemistry,Die Studierenden erwerben einen Überblick über wesentliche Stoffwechselwege,,,,
120,Hochschule Fulda,Qualitätsmanagement (LT),Die Studierenden können verschiedene Vorgehensweisen und Instrumente zur Sicherung der Lebensmittelqualität in lebensmittelbezogenen Fallsituationen zielgerichtet anwenden,,,,
121,Hochschule Fulda,Drying Technology,Die Studierenden sind in der Lage einfache Trocknungsanlagen zu berechnen und auszulegen.,,,,
122,Hochschule Fulda,Anlagentechnik und Hygienic Design,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,,,,
123,Hochschule Fulda,Einführung in die Arzneiformenlehre und Pharmakologie,Die Studierenden verfügen über Kenntnisse der grundlegenden pharmazeutischen Arbeitsweisen und Prozesse.,,,,
124,Hochschule Fulda,Lebensmittelverfahrenstechnik,Die Studierenden können kleinere Projekte zur Berechnung und Auslegung von Apparaten/Verfahren zur Lebensmittelverfahrenstechnik selbstständig durchführen. − Versuche können frei geplant und selbstständig durchgeführt werden. − Modellrechnungen können in eingeschränktem Rahmen entwickelt werden.,,,,
125,Hochschule Fulda,Pharmaceutical Technology,Die Studierenden können technische und naturwissenschaftliche Grundlagen der pharmazeutischen Technologie verstehen und anwenden.,,,,
126,Hochschule Fulda,Food Analysis,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",,,,
127,Hochschule Fulda,"Mess-, Steuer-, Regelungstechnik",Die Studierenden verfügen über grundlegende Kenntnisse in der Steuerungs- und Regelungstechnik.,,,,
128,Hochschule Fulda,Kälte- und Wärmetechnik,Die Studierenden verfügen über ein Grundverständnis von wärme- und kältetechnischen Prozessen.,,,,
129,Hochschule Fulda,Aktuelle Themen der Biotechnologie,Die Studierenden kennen aktuelle Entwicklungen in der Biotechnologie,,,,
130,Hochschule Fulda,Fundamentals of Computer Science,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,,,,
131,Hochschule Fulda,Physik,mit der Dynamik eines Massepunktes umzugehen und einfache Probleme der Newtonschen Mechanik (eines Massepunktes) zu berechnen,,,,
132,Hochschule Fulda,Technikprojekt,selbstständig und in Teams zu arbeiten,,,,
133,Hochschule Fulda,Technikprojekt,die Erstellung einfacher mechanische Konstruktionen,,,,
134,Hochschule Fulda,Technikprojekt,Literatur und Internetrecherche wissenschaftlich fundiert zu nutzen,,,,
135,Hochschule Fulda,Xperience Lab 1,Fehlerschranken zu ermitteln,,,,
136,Hochschule Fulda,Mathematik 3,die Analogien und Unterschiede zwischen ein- und mehrdimensionaler Analysis wiederzugeben und zu erklären,,,,
137,Hochschule Fulda,Grundlagen der Thermodynamik und Strömungslehre,"Sie kennen die Größen, die die thermodynamischen Eigenschaften von Stoffen beschreiben und können diese durch grundlegende Anwendung von Stoffwertekorrelationen berechnen.",,,,
138,Hochschule Fulda,Maschinenelemente und Werkstoffe im Maschinenbau,grundlegende Maschinenelemente fertigungsgerecht und funktionssicher auszulegen,,,,
139,Hochschule Fulda,Berufspraktikum,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",,,,
140,Hochschule Fulda,Feldbusse,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",,,,
141,Hochschule Fulda,Feldbusse,"Sie kennen Komponenten und Geräte, mit denen mobile und stationäre Systeme vernetzt werden können sowie eine Auswahl an Kommunikationsprotokollen und deren applikationsspezifische Anwendung.",,,,
142,Hochschule Fulda,Betriebswirtschaftslehre 1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,,,,
143,Hochschule Fulda,Mathematik für Wirtschaftsinformatiker 1,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",,,,
144,Hochschule Fulda,Betriebswirtschaftslehre 2,"Die Studierenden definieren und unterscheiden Fachbegriffe aus den betrieblichen Funktionen Personal- und Materialwirtschaft, Logistik, Produktion, Marketing sowie der Planung als Teil der betrieblichen Leitungsfunktion.",,,,
145,Hochschule Fulda,IT-Sicherheit,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,,,,
146,Hochschule Fulda,Praxisprojekt,Die Studierenden wenden das erlernte Fach- und Methodenwissen aus dem Studium in einer Unternehmensumgebung an.,,,,
147,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,,,,
148,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,,,,
149,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Wirtschaftsinformatik vom 22.01.2020, zuletzt geändert am 17.01.2024 Hochschule Fulda, Fachbereich Angewandte Informatik Seite 57",,,,
150,Hochschule Fulda,Personalmanagement,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung.",,,,
151,Hochschule Fulda,Unternehmensplanspiel,"Die Studierenden sind in der Lage, selbstständig (bzw. in Teamarbeit) betriebswirtschaftliche Entscheidungen unter Berücksichtigung von deren Konsequenzen (z.B. auf Cash Flow oder Gewinn) zu treffen.",,,,
152,Hochschule Fulda,Technikprojekt,die Erstellung einfacher mechanische Konstruktionen,,,,
153,Hochschule Fulda,Wissenschaftliches Arbeiten und Technisches Englisch,mit wissenschaftlichen Quellen zu arbeiten,,,,
154,Hochschule Fulda,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,Kurven- und Oberflächenintegrale zu berechnen,,,,
155,Hochschule Fulda,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,den Zusammenhang zwischen konkreten Kurven- und Oberflächenintegralen und dem Formalismus der Differentialformen zu verstehen,,,,
156,Hochschule Fulda,Grundlagen des wissenschaftlichen Arbeitens,Die Studierenden erwerben Kenntnisse über die Grundlagen des sicheren Arbeitens insbesondere in Laboratorien.,,,,
157,Hochschule Fulda,Principles of Scientific Research,Die Studierenden kennen die Methoden des wissenschaftlichen Arbeitens und können diese anwenden.,,,,
158,Hochschule Fulda,Management Basics,Die Studierenden können wichtige Instrumente zur Bewältigung von Management-Entscheidungen anwenden.,,,,
159,Hochschule Fulda,Grundlagen der Biologie und Rohstoffkunde (LT),Die Studierenden kennen wichtige biochemische und physiologische Prozesse in pflanzlichen und tierischen Geweben.,,,,
160,Hochschule Fulda,Fundamentals of Biology and Raw Materials (FT),Die Studierenden wissen über Zusammensetzung und Qualität ausgewählter pflanzlicher und tierischer Rohstoffe Bescheid.,,,,
161,Hochschule Fulda,Particle Technology and Fluid Mechanics,"Die Studierenden sind in der Lage, einfache Problemstellungen zu analysieren und notwendige Berechnungen selbst durchzuführen.",,,,
162,Hochschule Fulda,Statistik für Wirtschaftsingenieur*innen,Die Studierenden können statistische Software einsetzen.,,,,
163,Hochschule Fulda,Praxisphase,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,,,,
